Eier	direct
!	direct
Schinken	direct
!	direct
Franzwein	direct
!	direct
Flink	direct
,	direct
marsch	direct
!	direct
«	direct
schrie	x
ihn	x
gebieterisch	x
der	x
Nazi	x
an	x
und	x
kniff	x
dabei	x
einen	x
Dukaten	x
ins	x
linke	x
Auge	x
;	x
ein	x
Anblick	x
,	x
der	x
den	x
zuerst	x
trägen	x
und	x
bedenklichen	x
Herbergsvater	x
gleich	x
dienstbeflissen	x
und	x
munter	x
machte	x
.	x
Wir	x
aßen	x
gut	x
und	x
ließen	x
uns	x
Zeit	x
dabei	x
,	x
und	x
nachdem	x
sich	x
der	x
Nazi	x
ein	x
Fläschlein	x
extra	x
in	x
die	x
Brusttasche	x
gesteckt	x
hatte	x
,	x
setzten	x
wir	x
einträchtig	x
unsere	x
Wanderschaft	x
fort	x
.	x
Es	x
wunderte	x
mich	x
nur	x
,	x
daß	x
mein	x
Freund	x
,	x
der	x
sonst	x
so	x
gesprächig	x
war	x
,	x
sich	x
heute	x
allmählich	x
in	x
ein	x
völliges	x
Schweigen	x
hüllte	x
.	x
Endlich	x
sprach	x
er	x
wieder	x
:	x
»	direct
Verdammt	direct
zähes	direct
Zeug	direct
in	direct
dem	direct
Schinken	direct
.	direct
Klemmt	x
sich	x
immer	x
grad	x
zwischen	x
die	x
hohlen	x
Backenzähne	x
,	x
natürlich	x
!	x
Uh	direct
,	direct
Teufel	direct
,	direct
der	direct
Schmerz	direct
!	direct
Bitte	direct
,	direct
sieh	direct
eben	direct
mal	direct
nach	direct
,	direct
bester	direct
Freund	direct
!	direct
«	direct
Wir	x
befanden	x
uns	x
weit	x
draußen	x
auf	x
der	x
einsamen	x
Landstraße	x
.	x
Er	x
riß	x
jammernd	x
das	x
Maul	x
auf	x
.	x
Da	direct
ich	direct
vorn	direct
nichts	direct
sehen	direct
konnte	direct
,	direct
als	direct
zwei	direct
Reihen	direct
arbeitsfähiger	direct
Zähne	direct
,	direct
nahm	direct
ich	direct
den	direct
Zeigefinger	direct
zu	direct
Hilfe	direct
,	direct
um	direct
weiter	direct
hinten	direct
mal	direct
nachzufühlen	direct
.	direct
Sofort	x
,	x
mit	x
furchtbarer	x
Gewalt	x
,	x
wie	x
eine	x
Marderfalle	x
,	x
schnappten	x
die	x
Kiefer	x
zusammen	x
.	x
Meine	direct
Besinnung	direct
verließ	direct
mich	direct
.	direct
Als	x
ich	x
wieder	x
zu	x
mir	x
kam	x
,	x
war	x
mein	x
Freund	x
Nazi	x
verschwunden	x
;	x
mein	x
Geldbeutel	x
desgleichen	x
.	x
Und	x
so	x
war	x
denn	x
das	x
goldene	x
Gewebe	x
,	x
womit	x
ich	x
die	x
Geliebte	x
zu	x
umstricken	x
gedachte	x
,	x
für	x
immer	x
entzweigeschnitten	x
.	x
Gebeugt	x
und	x
erschüttert	x
durch	x
dieses	x
grausame	x
Ereignis	x
,	x
ohne	x
Freund	x
,	x
ohne	x
Geld	x
,	x
zog	x
ich	x
mich	x
in	x
die	x
tiefsten	x
Schatten	x
des	x
Waldes	x
zurück	x
,	x
wo	x
mich	x
sogleich	x
ein	x
erquickender	x
Schlaf	x
in	x
seine	x
tröstlichen	x
Arme	x
schloß	x
.	x
Es	x
war	x
eine	x
herrliche	x
Mondnacht	x
,	x
als	x
ich	x
erwachte	x
.	x
Hinter	x
den	x
Felsen	x
,	x
im	x
zitternden	x
Silberlicht	x
,	x
schimmerte	x
ein	x
See	x
.	x
Ich	x
hörte	x
was	x
plätschern	x
.	x
Eine	x
Nixe	x
,	x
so	x
schien	x
es	x
,	x
badete	x
sich	x
.	x
Neugierig	x
schlich	x
ich	x
näher	x
.	x
Auf	x
einem	x
Stein	x
lag	x
ihr	x
graues	x
Gewand	x
,	x
auf	x
dem	x
Gewand	x
ein	x
Haarband	x
von	x
Goldmünzen	x
.	x
»	direct
Aha	direct
!	direct
«	direct
dacht	x
ich	x
.	x
»	direct
Bist	direct
du	direct
's	direct
?	direct
Jetzt	direct
sollst	direct
du	direct
mich	direct
schön	direct
bitten	direct
,	direct
bis	direct
du	direct
's	direct
wiederkriegst	direct
.	direct
«	direct
Geschwind	x
steckt	x
ich	x
'	x
s	x
hinten	x
in	x
die	x
Fracktasche	x
;	x
daß	x
aber	x
hinter	x
mir	x
,	x
an	x
den	x
Baum	x
gelehnt	x
,	x
ein	x
Reiserbesen	x
stand	x
