text	stwr
Mehrere Leihbibliothekare schafften sie sich an, und von da wanderten sie in die Hände von Tausenden eifriger Leser.	NN
Der Absatz war jedoch im Ganzen so gering, daß ich mich endlich genöthigt sah, um nicht über die Hälfte der Exemplare auf dem Lager zu behalten, den Preis derselben auf die Hälfte herabzusetzen.	NN
So erhielt ich wenigstens die Druckkosten, wenn anch nicht das Honorar, womit ich freigebig war, wieder erstattet.	NN
Doch wozu soll ich all' die Werke herzählen, welche ich in dem Zeitraum von fünf Jahren verlegte!	FI
Kurz, nach dieser Zeit hatte ich von meinem Vermögen von zehntausend Thalern noch den zehnten Theil übrig, und die Flügel der Begeisterung waren mir doch endlich etwas gelähmt.	NN
Während dieser Zeit hatte mir nun noch die Liebe	NN
einen Streich gespielt.	NN
Ich hatte die Tochter eines wohlhabenden Kaufmanns geheirathet.	NN
Es wurde mir versprochen, daß ich nach einigen Jahren eine Mitgift von einigen tausend Thalern erhalten sollte.	IS
Diese Mitgift blieb aber aus, weil mein Schwiegervater das Unglück hatte, banquerott zu machen, und nun hatte ich große Noth, mir und meiner kleinen Familie den Lebensunterhalt zu verschaffen.	NN
In dieser Lage saß ich einesAbends, bei melancholischen Regenwetter, in meinem Kämmerlein tief betrübt da, und dachte darüber nach, wie mein heißes Streben so schlecht belohnt worden war, als ein hagerer Mann in den dreißiger Jahren, ein Packet, anscheinend mit Büchern, uuter dem Arme, hereintrat, sich mir als den Doctor der Philosophie: Schmierer, vorstellte, und also zu reden anhob: Mann des Unglücks, ich habe Ihr edles Streben lange Zeit verfolgt,, und bewundert.	reported;indirect;direct
Sie hatten bei allen Ihren Verlagsunternehmen nur die Absicht, ohne nach Gewinn zu trachten, wahre Humanität zu befördern; ich weiß, wie wenig Ihnen das gelang, und wieviel Sie bei diesem Streben einbüßten.	DS
Sie haben Familie, und es ist Ihre Pflicht, für ihren Lebensunterhalt zu sorgen; das möchte Ihnen aber schwer werden, wenn Sie die eingeschlagene Richtung noch länger verfolgten.	DS
Ich will Ihnen einen Weg weisen, auf dem wir Beide reich werden können.	DS
Seien Sie klug, und folgen Sie meinem Rathe.	DS
Und der wäre?	DS
Ich habe hier ein Dutzend Manuskripte populär-medicinischen Inhalts.'; Rathgeber für verschiedene Krankheiten mit pomphaften Titeln, die, wenn auch nicht den Kranken, doch dem Verleger aus der Noth helfen können.	DS
Sehen Sie hier.	DS
Dabei öffnete er das Packet, und legte mir zwölf Manuskripte vor.	NN
Ich las „ Unfehlbares Mittel gegen die Hämorrhoiden. "	NN
„ Die Kunst, die Lungenentzündung ohne Arzt zu kuriren. "	NN
Anweisung, die Gicht und den Rheumatismus durch ganz einfache Mittel zubeseitigen. "	NN
„ Sichere Hülfe gegen Zahnschmerzen " u. dgl.	NN
m. Sämmtliche Manuskripte hatten einen englischen berühmten Arzt zum Verfasser, und waren in's Deutsche übersetzt( natürlich vorgeblich.)	NN
Erstaunt blickte ich den mir unbekannten Herrn an und fragte: Aber sagten Sie mir nicht, Sie wären Doctor der Philosophie?	DS
„ Das sagte ich, und so ist es auch. "	DS
Aber wie können Sie, ohne Arzt zu sein, medicinische Bücher schreiben?	DS
„ O Sie Unschuld! " rief der Doctor lächelnd — „ Nichts leichter als das.	DS
Wozu gibt es medicinische Lexika?	DS
In ihnen findet man die Krankheiten mit ihren Ursachen, Symptomen und den Mitteln, sie zu kuriren, angeführt.	DS
