text	stwr
Eier!	DS
Schinken!	DS
Franzwein!	DS
Flink, marsch! « schrie ihn gebieterisch der Nazi an und kniff dabei einen Dukaten ins linke Auge; ein Anblick, der den zuerst trägen und bedenklichen Herbergsvater gleich dienstbeflissen und munter machte.	DS
Wir aßen gut und ließen uns Zeit dabei, und nachdem sich der Nazi ein Fläschlein extra in die Brusttasche gesteckt hatte, setzten wir einträchtig unsere Wanderschaft fort.	NN
Es wunderte mich nur, daß mein Freund, der sonst so gesprächig war, sich heute allmählich in ein völliges Schweigen hüllte.	IS
Endlich sprach er wieder:	NN
» Verdammt zähes Zeug in dem Schinken.	DS
Klemmt sich immer grad zwischen die hohlen Backenzähne, natürlich!	DS
Uh,Teufel, der Schmerz!	DS
Bitte, sieh eben mal nach, bester Freund! «	DS
Wir befanden uns weit draußen auf der einsamen Landstraße.	NN
Er riß jammernd das Maul auf.	NN
Da ich vorn nichts sehen konnte, als zwei Reihen arbeitsfähiger Zähne, nahm ich den Zeigefinger zu Hilfe, um weiter hinten mal nachzufühlen.	NN
Sofort, mit furchtbarer Gewalt, wie eine Marderfalle, schnappten die Kiefer zusammen.	NN
Meine Besinnung verließ mich.	NN
Als ich wieder zu mir kam, war mein Freund Nazi verschwunden; mein Geldbeutel desgleichen.	NN
Und so war denn das goldene Gewebe, womit ich die Geliebte zu umstricken gedachte, für immer entzweigeschnitten.	RP
Gebeugt und erschüttert durch dieses grausame Ereignis, ohne Freund, ohne Geld, zog ich mich in die tiefsten Schatten des Waldes zurück, wo mich sogleich ein erquickender Schlaf in seine tröstlichen Arme schloß.	NN
Es war eine herrliche Mondnacht, als icherwachte.	NN
Hinter den Felsen, im zitternden Silberlicht, schimmerte ein See.	NN
Ich hörte was plätschern.	NN
Eine Nixe, so schien es, badete sich.	NN
Neugierig schlich ich näher.	NN
Auf einem Stein lag ihr graues Gewand, auf dem Gewand ein Haarband von Goldmünzen.	NN
»Aha! « dacht ich.	DS
» Bist du's?	DS
Jetzt sollst du mich schön bitten, bis du's wiederkriegst. «	DS
Geschwind steckt ich 's hinten in die Fracktasche; daß aber hinter mir, an den Baum gelehnt, ein Reiserbesen stand, hatt ich nicht beachtet.	IS
Dieser, als säße der Teufel drin, setzte sich plötzlich in Bewegung und machte Sprünge wie ein Böcklein, und stieß nach mir, bald links, bald rechts, bald hinten, bald vorn, und dann nahm er einen Anlauf und fuhr mir zwischen die Beine, und fort ging 's hoch in die Luft und weg über die Wipfel; und ich mußte zuerst ordentlich lachen, als wir so dahintrabten, hopp hopp, unter dem zurückfliehenden Gewimmel der Sterne, und wie im geschüttelten Frackzipfel gar lustig die Münzen klirrten; aber schon nach fünf Minuten hatt ich es satt gekriegt, denn mein Rößlein war ein harter Traber und warf mich auf und nieder auf seinem hölzernen Rücken, daß mir's war, als würd ich durchgestoßen und aufgespalten bis an den Nabel.	NN
Endlich, nach Verlauf einer Ewigkeit von mindestens zwanzig Minuten, kehrte der verflixte Besengaul den Kopf nach unten und den Schweif nach oben und fuhr senkrecht in den geräumigen Schlot eines Hauses, welches einsam in der Wildnis lag.	NN
Unter großem Gerassel fiel ich auf den Herd zwischen allerlei Küchengeschirr.	NN
Der Besen strich mir mit seinem dürren Reiserschweife noch ein paarmal durchs Gesicht, und dann stand er, in der Ecke am Kamin, stocksteif, wie ein gewöhnlicherSchrupper, der nie was von selber tut.	NN
