text	stwr
Zehn Jahre ungefähr war 's her, daß zuerst in dem ablegenen Weltwinkel Gerüchte umgingen, die das landeingesessene Volk da in Erregung, Bewegung und Aufregung brachten, wie seit Gründung von Kloster Corvey nicht mehr.	RP
Ja, ungefähr war es wieder einmal so gewesen dort imVolk, als etwas ganz Neues in der Gegend aufkam.	NN
Hatte Kaiser Ludwig der Fromme das christliche Kirchentum wie ein Licht auf einen Leuchter in die dunkle Sollingswildnis gesteckt, so hatte nunmehr Herzog Karl von Braunschweig die Kunst hinverpflanzt.	NN
Daß der letztere hohe Gründer mehr als der erstere seinen	IS
irdischen	IS
Profit dabei suchte, läßt sich nicht leugnen, soll ihm aber von uns nicht zum Vorwurf gemacht werden.	reported;indirect
Wer Geld braucht, gewinnt es sich, trotz allem, was man dagegen reden mag, durch die Kunst, durch schöne Künste, immer noch auf die unschuldigste Weise und tut jedenfalls anderen am wenigsten Schaden durch die Art, wie er ihr Geld ihnen abnimmt.	RP
–	NN
Es ist fein in den alten Akten nachzulesen, wieviel Mühe, Sorge und Ärger es kostete, das exotische Gewächs in dieser ostfälischen Waldwildnis zum Keimen, Blühen und kärglichen Fruchttragen zu bringen.	RP
Der Staub, der grade über diese Gründung Serenissimi in seiner Geheimeratsstube zu Braunschweig von den Perücken aufwirbelte, wurde oft so undurchdringlich, daß die Sonne völlig machtlos dagegen blieb und nur ein fürstliches	NN
Je le veux!	NN
des achtzehnten Jahrhunderts eine trübe Dämmerung über dieser » Erschließung einer neuen Finanzquelle « erhielt.	DS
Aber was geht Uns das an?	NN
Serenissima, unsere liebe Leserin, fragt schon lange:	NN
» Das soll eine Liebesgeschichte werden?	DS
Den Daphnis und die Chloe, die langweiligen arkadischen Griechen, wollte ich mir ja gerne schenken, aber erfahren möchte man doch allmählich ein wenig Genaueres von der Hauptsache. «	DS
Und recht hat sie bis in den Kern der Welt hinein, und deshalb soll sie es auch bekommen, da wir ja auch diesmal wieder eine	RP
wahre	RP
Geschichte erzählen.	RP
–	NN
Wer vor allen vermeinte, ihre Gründe zu haben, über das neue Wesen da oben in dem alten Schloß auf dem Berge den Kopf zu schütteln, sich Sorgen zu machen und gegen es als ein persönlich Ärgernis sich aufzubäumen, das war– die Pastorin in dem Dorfe unter dem Berge, die Frau Johanne Holtnicker, geborene Störenfreden.	IS
Mit dem allermöglichsten Respekt gegen seine hochfürstliche Durchlaucht, den Herzog Karl, war sie doch der Meinung, daß er ein bißchen zu sehr den Kuckuck gegen sie gespielt habe, durch das buntgesprenkelte Ei, seine	IS
Porcelaine	IS
-Fabrik, die er ihr in ihren Welt-, Wald-, Dorf-, Haus- und Gartenfrieden geschoben hatte.	IS
Das Ei war es wohl weniger, was ihr zum Ärgernis wurde, als das, was aus ihm ausgekrochen war: die Abenteurer, die Alchimisten, die Laboranten und vor allem das meistens junge Volk aus aller Herren Ländern, das mit seinen Farbentöpfen und Pinseln gekommen war, um das Schöne zu dem Nützlichen zu tun.	NN
Die Blaumaler hätte sie sich wohl noch gefallen lassen, das waren solide, brave Burschen, die in ihren Malstuben über ihre Tassen und Teller gebückt saßen, und sich draußen nach nichts für ihre Künstlichkeit umzusehen brauchten.	NN
Aber die Figuren- und Blumenmaler,– das waren die Schlimmen, die ihr das Leben verdrießlichermachten, als es Serenissimus vor sich verantworten konnte!	FI
