text	stwr
Dann bin ich in das Wirtshaus, wo er manchmal hinzugehen pflegt;– da war er auch nicht.	DS
Und weißt du, warum ich jetzt bei mir zu Haus war?	DS
Weil ich überall, bei ihm und auch im Wirtshaus den Auftrag gegeben habe, man soll ihn sofort zu mir schicken.	DS
Und jetzt fahren wir wieder ins Theater, weil ich keine Ruh' hab', bevor ich ihn find',– verstehst du? «	DS
August sprach kein Wort; aber er hätte sie gern erwürgt.	RP
Der Wagen rollte über die Donaubrücke, noch ein paar Minuten und er hielt in einer schmalen Gasse, an der kleinen Hintertür des Theatergebäudes, die zur Bühne führt.	NN
Die Blandini sprang aus dem Wagen; August ihr nach.	NN
Die Tür war längst geschlossen.	NN
Ein Gewölbewächter, der eben vorbeiging, sah neugierig die junge Dame an, die um Mitternacht hier an der Glocke zog.	NN
Nach ein paar Sekunden wurde die kleine Tür geöffnet, und der Portier erschien mit einer Laterne in der Hand... » Jessas, Fräulein Blandini, was ist denn?	DS
Was ist denn gescheh'n?	DS
Haben S' was da vergessen? «	DS
» Leuchten Sie mir nur. «	DS
August stand hinter ihr.	NN
» Der Herr hat nichts da zu tun, « sagte die Blandini; » sperren Sie zu. «	DS
Sie stieß August zurück, schloß selbst die Tür, und der Portier versperrte sie.	NN
Während sie mit dem Portier durch denschmalen, niederen Gang eilte, der zur Bühne führte, fragte sie ihn:	NN
» Haben Sie den Roland weggehen sehen? «	DS
Der Portier dachte nach.	RP
» Ja, Fräulein, jetzt ist sicher niemand mehr in der Garderobe.	DS
Vor zwei Stunden hab' ich schon zugesperrt. «	DS
» Haben Sie ihn weggehen gesehen? « wiederholte sie beinahe flehend.	DS
Sie standen nun auf der großen, dunklen Bühne.	NN
Von der Laterne, die der Portier in der Hand hielt, fiel ein Lichtkegel auf den weißen Souffleurkasten.	NN
Die Kulissen, zu beiden Seiten im Dunkel, schienen ins Unermeßlichehinaufzuwachsen.	NN
Der eiserne Vorhang stand da wie eine Riesenwand.	NN
» Ja .... gesehen « sagte der Portier.	DS
»... ich weiß mich wirklich nicht zu erinnern, ich bitt' schön, Fräulein, es gehen da so viel Leut' an einem vorbei, man schaut doch nicht einen jeden an; nicht wahr? «	DS
Die Blandini blieb noch einen Moment nachsinnend stehen, dann eilte sie rasch über die Bühne bis hinter die Kulissen, zu der kleinen Stiege.	RP
Sie setzte den Fuß auf die ersten Stufen.	NN
» Aber Fräulein, « rief der Portier, der ihr mit der Laterne nacheilte, » da ist ja die Herrengarderobe. «	DS
Sie antwortete nicht; sie eilte so rasch hinauf, daß sie oben plötzlich im Dunkel stand und auf den nachstolpernden Mann mit der Laterne warten mußte.	RP
Sie holte tief Atem.	NN
Als der Portier wieder bei ihr war, und ein schwacher Lichtschimmer den Gang erhellte, fragte sie:	NN
» Wo ist die Garderob' vom Roland? «	DS
» Ja Fräulein, das weiß ich selber nicht, ich komme ja nie da herauf.	DS
Aber da oben sind die Namen angeschrieben. «	DS
Sie nahm ihm die Laterne aus der Hand und versuchte aufs Geratewohl, die erste Tür zu öffnen.	NN
» Fräulein, das geht nicht, s' ist ja zugesperrt.	DS
Die Herren sperren meistens zu beim Fortgehen.	DS
Und das ist ja gar nicht die von Herrn Roland. «	DS
Fräulein Blandini eilte weiter; bei einer Tür nach der andern hob sie die Laterne höher, um die Namen zu lesen.	NN
