text	stwr
Du hast doch unterwegs noch kein einziges Geldstück gefunden, hast aber schon eine ganze Menge ausgegeben. «	DS
» Dafür habe ich dich sehen dürfen, Sserjoscha! «	DS
» Das Wiedersehen nach all dem Elend ist doch wirklich keine Freude!	DS
Ich verfluche mein Leben und will an diese Zusammenkünfte gar nicht denken! «	DS
» Mir ist aber alles gleich, Sserjoscha!	DS
Wenn ich dich nur sehen kann! «	DS
» Das sind Dummheiten «, entgegnete Ssergej.	DS
Als Katerina Lwowna solche Antworten zu hören bekam, biß sie sich oft die Lippen blutig.	RP
Bei den nächtlichen Zusammenkünften traten ihr oft Tränen der Erbitterung in die Augen, die sonst niemals weinten.	NN
Sie trug aber alles schweigend und suchte sich selbst zu betrügen.	NN
So sehr hatten sich ihre Beziehungen zueinander geändert, als sie Nischnij-Nowgorod erreichten.	NN
Hier schloß sich an ihren Transport ein anderer an, der aus Moskau kam.	NN
In diesem sehr großen Transport befanden sich unter anderm zwei interessante weibliche Individuen: die Soldatenfrau Fiona aus Jaroslawl, ein üppiges, großes, schönes Weib mit langem, schwarzem Zopf und schmachtenden dunklen Augen, die von den langen Wimpern wievon einem geheimnisvollen Schleier beschattet waren.	NN
Die andere war ein siebzehnjähriges Ding mit spitzigem Gesicht und zarter, rosiger Haut, kleinem Mündchen, Grübchen in den frischen Wangen und goldblonden Locken, die unter dem leinenen Kopftuch lustig auf die Stirne niederfielen.	NN
Dieses Mädel wurde von den Sträflingen Ssonetka genannt.	RP
Die schöne Fiona war sanft und faul.	NN
Alle Sträflinge kannten sie; keiner von den Männern zeigte besondere Freude, wenn sie ihm ihre Huld schenkte; niemand grämte sich auch, wenn sie diese Huld auf einen andern übertrug.	NN
» Fiona ist ein guter Mensch, sie benachteiligt niemand «, scherzten die Sträflinge.	DS
Ssonetka war aber ganz anders.	NN
Von ihr sagte man:	NN
» Sie ist wie ein Aal: sie gleitet einem durch die Finger und läßt sich von niemand einfangen. «	DS
Ssonetka hatte Geschmack und war wählerisch; sie wollte, daß man ihr die Leidenschaft nicht im rohen Zustande, sondern mit einer pikanten Sauce entgegenbringe; sie verlangte Leiden und Opfer.	NN
Fiona war aber die verkörperte russische Einfalt, die viel zu faul ist, um jemand » Nein « zu sagen und die nur das eine weiß, daß sie ein Weib ist.	reported;indirect
Solche Frauen werden in den Räuberbanden, Sträflingstransporten und Petersburger sozialistischen Kommunen sehr geschätzt.	NN
Das Erscheinen dieser beiden Frauen in dem gleichen Transport, in dem sich Ssergej und Katerina Lwowna befanden, hatte für diese letztere eine tragische Bedeutung.	NN
XIV	NN
Gleich in den ersten Tagen nach dem Ausmarsche aus Nischnij-Nowgorod begann sich Ssergej in auffälliger Weise um die Gunst der Soldatenfrau Fiona zu bewerben.	NN
Er hatte auch bald Erfolg.	NN
Die schöne Fiona ließ ihn nicht allzu lange zappeln und erfüllte sein Sehnen, wie sie in ihrer Herzensgüte auch jeden anderen beglückte.	NN
Auf der dritten oder vierten Etappe hatte Katerina Lwowna sich wieder die Möglichkeit einer Zusammenkunft mit Ssergej erkauft.	NN
Sie liegt auf ihrem Lager und wartet: gleich wird der Aufseher kommen und ihr zuraunen:	NN
» Lauf schnell hinaus! «	DS
Die Türe geht einmal auf, und eine der Frauen huscht hinaus; die Türe geht wieder auf, und von der Pritsche springt eine andere Frau und verschwindet im Korridor.	NN
Endlich zupft jemand Katerina Lwowna am Kittel.	NN
