text	stwr
Zweite verbesserte Auflage in 2 Bänden.	NN
Stuttgart, Krabbe.	NN
—	NN
In einer sehr gut geschriebenen Einleitung setzt der Verfasser die Methode seiner Bearbeitung auseinander.	RP
Wenn er nicht darauf ausgegangen ist, eine bloße Uebersetzung zu geben, so lag das in der Natur des ihm vorliegenden Originals.	IS
Die beiden großen epischen Gedichte der Indier, Mahabharata und Ramajana, sind wie die meisten Dichtungen aus der Jugendzeit der Völker, nicht aus einem Guß geschaffen, sondern sie sind durch sehr verschiedene Hände gegangen, und die Ueberarbeitungen späterer Zeitalter, die zum Theil von einer höchst abweichenden sittlichen Weltanschauung ausgingen, sind noch leicht zu erkennen.	NN
Der Mahabharata füllt vier dicke Quartbände, in denen der ursprünglich sagenhafte Theil durch die Ueberfülle des später hinzugefügten Materials fast erstickt wird.	NN
Diese Zusätze und Veränderungen gingen theils aus der veränderten Geschmacksrichtung hervor, theils aus dem Bedürfniß, in einem großen Werk alles zusammenzustellen, was die indische Poesie überhaupt geschaffen hatte, und so alle andere poetischen Werke gewissermaßen entbehrlich zu machen, hauptsächlich aber aus dogmatischen Zwecken.	RP
In dem indischen Religionssystem war eine gewaltige Umwandlung vorgegangen.	NN
Auf das Heldenzeitalter der Nation war ein dumpfes Priesterthum gefolgt, und die lebendigen Göttergestalten wurden durch Abstractionen und Natursymbole verdrängt.	NN
Diese Umwandlung wurde nun auch mit dem Gedicht vorgenommen	NN
und dadurch die ursprüngliche kräftig jugendliche Färbung in ein düstres Grau verwandelt.	NN
Der Verfasser hat sich nun die Aufgabe gesetzt, soviel es durch Divination, durch Gefühl des Zweckmäßigen und Unzweckmäßigen möglich ist, die ursprüngliche Gestalt des Gedichts wiederherzustellen.	NN
Er ist sich sehr wohl bewußt, daß eine spätere wissenschaftliche Kritik vielleicht zu ganz andern Resultaten kommen wird, wenn er auch hofft, daß sie ihm in vielen Punkten Recht geben wird.	IS
Ihm kam es vor allem aber darauf an, dem deutschen Publicum ein Gedicht herzustellen, welches in Beziehung auf die Begebenheiten wie auf die zu Grunde gelegte Weltanschauung ein harmonisches Ganze bilden sollte.	RP
Er hat nichts von eigner Erfindung hinzugethan, sondern sich so getreu als möglich an die indischen Vorstellungen zu halten gesucht, und auch wo er der Verknüpfung wegen einen Nebenumstand erfinden mußte, überall eine bestimmte indische Ueberlieferung zu Rathe gezogen.	RP
Diese Aufgabe ist ihm vollkommen gelungen.	NN
Das Gedicht, „ die Kuruinge ", in welchem die Hauptbegebenheit der Mahabharata behandelt wird, ist ein in sich zusammenhängendes, geschlossenes Gedicht, welches uns in den blühendsten und kräftigsten Farben ein wildbewegtes Heldenzeitalter darstellt und in vieler Beziehung mit uusern Nibelungen verglichen werden kann.	RP
Ein ruhmvolles Königsgeschlecht fällt durch eigne Schuld in schmählichen Untergang.	NN
Die einzelnen Helden sind in sehr bestimmten und leicht erkennbaren Umrissen gezeichnet; die Bewegung ist frei und eigenthümlich, und eine lebendige Spannung fesselt uns vom Anfang bis zum Ende.	RP
Die Schlachtengemälde sind mit einer großen sinnlichen Wahrheit wiedergegeben, und so, daß sie trotz der Verschiedenartigkeit der indischen Cultur von der unsrigen uns grade so lebendig werden, wie die griechischen Heldensagen vom Trojanerkrieg und die deutschen von der Völkerwanderung.	RP
Freilich hat bei der Darstellung von Heldenthaten jedes Volk eine eigne Weise zuübertreiben, und die eine Kunstfertigkeit im Kriegshandwerk, die unzählige Male vorkommt, wird alle deutschen Leser vor den Kopf stoßen.	NN
Wenn nämlich ein Held auf einen geschickten Bogenschützen eine Lanze wirft, so schießt sie dieser im Fluge mit einer Reihe von Pfeilen in Stücke, einmal sogar in elf Stücke.	NN
