text	stwr
Seine Milde und Freigebigkeit waren im Kloster bekannt und gerühmt, auch den Abt soll er in diesem Sinne beeinflußt haben, sodaß der Kämmerer niedere, dem die Ver	RP
waltung des Klosterguts und die Verteilung der Almosen oblag, diesem oftmals Vorwürfe über seine Verschwendung machte, worauf sich dann der Abt auf den Dekan Ekkehard als seinen Freund und Helfershelfer im Wohltun zu berufen pflegte.	RP
Ekkehards Name ist auch mit der oft nacherzählten Anekdote von dem Landstreicher verknüpft, der, indem er sich lahm stellte, die Gastlichkeit des Klosters in Anspruch nahm.	RP
Ihm wurde auf Ekkehards Geheiß ein warmes Bad bereitet, und da ihm das Wasser zu heiß war, so schrie er laut in seiner welschen Sprache: ei mihi, cald est, cald est, worauf der Diener, der das Bad zurichtete, in der Meinung, der Fremde sei ein Deutscher und beklage sich über die Kälte des Wassers — aber auch nicht ohne einen Zusatz von Bosheit, weil er sich ärgerte, daß er den dicken Kerl auf seinem Rücken in das Badezimmer hatte schleppen müssen —, heißes Wasser herbeitrug und solches in Strömen in die Badewanne goß.	indirect;reported;direct
Da sprang der Fremde, seine Lähmungvergessend, aus der Wanne heraus und suchte, der Tür zueilend, das Weite, während der Diener, da er den Betrug erkannt hatte, dem Fliehenden nachsprang und ihm mit einem halbglüheuden Holzscheit, das er dem Feuer entrissen hatte, ungezählte Streiche aufmaß.	RP
Von dem Lärm herbeigerufen erschien dann Ekkehard, wehrte dem Wütenden und ließ den betrügerischen Schelm laufen.	NN
Vier Neffen hat Ekkehard dem Kloster zugeführt, darunter Ekkehard den Zweiten, der die Herzogin Hadwig im Lateinischen unterrichtet hat — dann ist „ der edle Weinstock, der solche Schößlinge entsandte, selbst in guter Reife am Tage des heiligen Felix( 14. Januar 973) eingeherbstet worden. "	DS
Groß war die Klage um den allerseits verehrten Mann.	RP
Weinend ging Immo, Ekkehards Nachfolger im Dekanat und später des Klosters Abt, als der Leichnam auf der Bahre lag, beiseite und rief laut:	NN
„ Sieh, Herr, und betrachte, wen du so eingeherbstet hast. "	DS
Das ist so ziemlich alles, was wir von dem Leben Ekkehards wissen, der den Namen seines Klosters so berühmt gemacht hat.	RP
Auch von seinen Dichtungen ist nicht alles erhalten: seine Hymnen und Sequenzen sind verschollen, dagegen strahlt sein Waltharius manu fortis noch heute in unvergänglichem Glanz und ist seit Scheffels Ekkehard auch in der kleinsten Bücherei zu finden.	NN
In den Schulen wird Ekkehards Name neben dem seines Zeitgenossen, des großen Königs aus dem Sachsenstamme, genannt, und in jedem Handbuch der Literaturgeschichte steht zu lesen, daß Ekkehard von St. Gallen den Waltharius in der Jugend gedichtet hat.	reported;indirect
So ist es, der Waltharius ist kein Werk des reifern Alters, sondern ans der Schulbank verfaßt, ein debitum magistro, wie man sich in der Klostersprache ausdrückte.	RP
Ein Exemplar dieses Gedichts gelangte wenig Jahre vor oder nach Ekkehards Tode nach Straßburg, es wurde dem Bischof Erchambald übersandt mit einer in lateinischen Hexametern abgefaßten Widmung, als deren Verfasser sich Geraldus nennt, ohne jedoch von seiner Persönlichkeit etwas andres anzugeben, als daß er ein fragilis peccator, d. h. ein alter sündhafter Mann, und ein certus corde et fidelis alumnus, d. h. in der Sprache des Mittelalters ein treuer und ergebner Diener seines hochmächtigen Gönners sei.	reported;indirect
