text	stwr
Bischof und Schellenmoriz.	NN
In Lettewitz bei Wettin wird am dritten Pfingstfeiertag ein Knecht ganz in Laub gehüllt und ein anderer in umgekehrtem Pelze gekleidet: der erste heißt der Bischof, der zweite der Schellenmoriz.	NN
Sie gehen im Dorfe von Haus zu Haus, und es folgen ihnen zwei Männer, die einen Korb an einer Stange auf den Schultern tragen.	NN
In den Korb werden die Gaben gesammelt, welche die Bauern dem Bischof schenken( Eier, Speck, Butter, Semmel und dergleichen).	NN
Dann wird das so Zusammengebrachte in der Schenke verzehrt, und alle Bewohner des Dorfes und selbst die Fremden, die grade in der Schenke einkehren, dürfen an dem Mahle Theil nehmen.	NN
Lieder werden bei der Einsammlung der Gaben nicht gesungen; doch der Schellenmoriz sucht den Zug, der ihn und den Bischof begleitet, durch allerlei Späße zu belustigen, indem er den Leuten ein Bein vorhält, daß sie stolpern, die Kinder kneift und schlägt, sie auch wohl ins Wasser wirft u. s.f.	NN
Nach dem Mahle folgt ein Tanz.	NN
–	NN
Dasselbe Fest mit gleicher Benennung der beiden Verkleideten soll bisweilen, doch nicht alle Jahre, in Dederstedt und in Granau bei Nietleben gefeiertwerden.	NN
In Nietleben ziehen die Knechte und Mägde am Pfingstsonntag mit Musik aus dem Dorfe, bauen eine Hütte auf einer Wiese und tanzen die drei Feiertage dort.	NN
Am Nachmittag des dritten verkleiden sich die Burschen und » reiten betteln «: einen Prinzen und eine Prinzessin an der Spitze reiten sie durch dasDorf, sammeln Gaben ein und verzehren sie gemeinsam in der Schenke.	NN
Mit mannigfachen Abweichungen erscheint zu Pfingsten das Spiel »	NN
Den wilden Mann aus dem Busche jagen	NN
« oder » den wilden Mann aus dem Holze holen «, auch » den Teufel aus dem Busch holen « genannt.	NN
Die gewöhnliche Form ist folgende.	NN
Ein Bursche wird in Laub oder Moos gehüllt und heißt der wilde Mann.	NN
Er versteckt sich im Walde, und die übrigen Burschen des Dorfes ziehen aus ihn zu suchen.	NN
Sie finden ihn, führen ihn als Gefangnen aus dem Walde und schießen draußen mit blindgeladnen Gewehren nachihm.	NN
Er fällt wie todt zu Boden, doch man sucht ihn wieder ins Leben zu bringen.	NN
Ein Bursche, der als Arzt verkleidet ist, läßt ihm zur Ader, und wie er wieder erwacht, jubeln die andern, setzen ihn auf einen Wagen, binden ihn fest, und nun fahren sie ins Dorf und erzählen der versammelten Gemeinde wie sie den wilden Mann gefangen haben, und vor jedem Hause erhalten sie ein Geschenk.	RP
– Bisweilen wird der wilde Mann nicht in Laub oder Moos gekleidet, sondern mit Farben bunt bemalt oder, dort wo er Teufel heißt, mit Ruß über und über geschwärzt.	NN
An einigen Orten erscheint er in einer beliebigen Verkleidung, und dann verkleiden sich auch die, welche ausziehen ihn zu suchen.	NN
– In Näglitz wird der in Moos gehüllte wilde Mann, nachdem er gefangen ist, an ein Seil gebunden:	NN
er muß auf Händen und Füßen gehen und wird beim Gabensammeln als » der Bär « gezeigt.	NN
In Erdeborn und der Umgegend erscheint neben dem wilden Mann ein in Stroh gehüllter Bursche, der auf allen Vieren kriecht, als Bär.	NN
In Dederstedt und Helbra wird der wilde Mann mit grünem Erbsenstroh umschnürt und ebenfalls an einem Seile als » der Erbesbär « durch das Dorf geführt, und neben ihm zieht » der Schimmelreiter «, der in Erntegebräuchen häufiger ist, als lustige Person.	NN
