text	stwr
Im Garten habe ich im Gras gelegen und habe den Duft von tausend Blumen eingeatmet; mein Auge berauschte sich an den leuchtenden Farben der Blüten, über die das Sonnenlicht hinflutete, und auf die Stille in den Lüften habe ich gehorcht, die nur bisweilen unterbrochen wurde durch den Lockruf eines Vogels.	NN
Ich vernahm das Gären der fruchtbaren, schwülen Erde, dieses geheimnisvolle Geräusch des ewig schaffenden Lebens.	NN
Damals fühlte ich dunkel die Größe und Schönheit des Lebens.	NN
Damals auch los war mir, als gehörte das Leben mir.	IS
Da aber fiel mein Blick auf das Erkerfenster des Hauses.	NN
Dort sah ich die kranke Maria sitzen– still und unbeweglich, mit geschlossenen Augen.	NN
Und all' mein Sinnen wurde wieder angezogen von dem Leiden dieses einen Wesens, verblieb dort– ward zu einer schmerzlichen, nur scheu eingestandenen Sehnsucht, die mich rätselhaft und verwirrenddünkte.	RP
Und scheu, still verließ ich den Garten, als hätte ich kein Recht, in diesem Tempel zu verweilen.	NN
Sooft ich da am Zaun vorüberkam, brach ich wie in Gedanken eine von den großen, leuchtendroten, duftschweren Rosen.	RP
Leise wollte ich dann am Fenster vorüberhuschen, als ich den zitternden, zarten Schatten von Marias Gestalt sich vom Kiesweg abheben sah.	NN
Und mein Schatten berührte den ihrigen wie in einer Umarmung.	NN
Da nun trat ich, wie von einem flüchtigen Gedanken erfaßt, zum Fenster und legte die Rose, die ich eben erst gebrochen, in Marias Schoß.	RP
Dann schlich ich lautlos davon, als fürchtete ich, ertappt zu werden.	IS
Wie oft hat dieser kleine, mich so bedeutsam dünkende Vorgang sich wiederholt!	RP
Ich weiß es nicht.	RP
Mir ist es, als hätte ich der kranken Maria tausend Rosen in den Schoß gelegt, als hätten unsere Schatten sich unzählige Male umarmt.	IS
Nie hat Maria dieser Episode Erwähnung getan; aber gefühlt habe ich aus dem Schimmer ihrer großen leuchtenden Augen, daß sie darüber glücklich war.	reported;indirect
Vielleicht waren diese Stunden, da wir zwei beisammen saßen und schweigend ein großes, ruhiges, tiefes Glück genossen, so schön, daß ich mir keine schöneren zu wünschen brauchte.	RP
Mein alter Onkel ließ uns still gewähren.	NN
Eines Tages aber, da ich mit ihm im Garten saß, inmitten all' der leuchtenden Blumen, über die verträumt große gelbe Schmetterlinge schwebten, sagte er zu mir mit einer leisen, gedankenvollen Stimme:	NN
» Deine Seele geht nach dem Leiden, mein Junge. «	DS
Und dabei legte er seine Hand auf mein Haupt und schien noch etwas sagen zu wollen.	NN
Aber er schwieg.	NN
Vielleicht wußte er auch nicht, was er dadurch in mir geweckt hatte und was seither mächtig in mir auflebte.	IS
Eines Tages, da ich wiederum zum Fenster trat, an dem Maria wie gewöhnlich saß, sah ich, daß ihr Gesicht im Tode erbleicht und erstarrt war.	NN
Sonnenstrahlen huschten über ihre lichte, zarte Gestalt hin; ihr gelöstes Goldhaar flatterte im Wind, mir war, als hätte sie keine Krankheit dahingerafft, als wäre sie gestorben ohne sichtbare Ursache– ein Rätsel.	IS
Die letzte Rose habe ich ihr in die Hand gelegt, sie hat sie ins Grab genommen.	NN
Bald nach dem Tode Marias reiste ich ab in die Großstadt.	NN
Aber die Erinnerung an jene stillen Tage voll Sonnenschein sind in mir lebendig geblieben, lebendiger vielleicht als die geräuschvolle Gegenwart.	NN
