text	stwr
Der Arzt konnte keine Wunde finden und bekam auf sein Befragen von dem Patienten nur ein wildes Knurren zur Antwort, das er für die Laute eines slawischen Dialektes hielt.	RP
Für alle Fälle verordnete er ein Klystier und ging in das Offizierszelt.	RP
 - - -	NN
Ärzte und Offiziere unterhielten sich ausgezeichnet; das kurze aber blutige Scharmützel hatte Leben in das alte Einerlei gebracht.	RP
Mostschädel hatte eben einige anerkennende Worte über Professor Charkot– um die anwesenden französischen Kollegen sein deutsches Übergewicht nicht allzu schmerzlich fühlen zu lassen– beendet, als die indische Pflegerin vom roten Kreuz am Zelteingang erschien und in gebrochenem Französisch meldete:	RP
» Sergeant Henry Serpollet tot, Trompeter Wenzel Zavadil 41,2 Grad Fieber. «	DS
» Intrigantes Volk, diese Slawen, « murmelte der Wache habende Arzt, » der Kerl hat Fieber und doch keine Verwundung! «	DS
Die Wächterin erhielt die Weisung, dem Soldaten, natürlich dem lebendigen, drei Gramm Chinin in den Schlund zu stopfen, und entfernte sich.	IS
 - - -	NN
Professor Mostschädel hatte die letzten Worte aufgefangen und machte sie zum Ausgangspunkt einer längeren gelehrten Rede, in der er die Wissenschaft Triumphe feiern ließ, die es verstanden hatte, das gute Chinin in den Händen von Laien zu entdecken, die in der Natur, der blinden Henne gleich, auf dieses Heilmittel gestoßen waren.	RP
Er war von diesem Thema auf die spastische Spinalparalyse übergegangen und die Augen seiner Zuhörer begannen bereits gläsern zu werden, als wiederum die Wärterin mit der Meldung erschien:	RP
» Trompeter Wenzel Zavadil 49 Grad Fieber, bitte um ein längeres Thermometer. «	DS
 - - -	NN
» Also demnach schon längst tot, « sagte lächelnd der Professor.	DS
–	NN
Der Stabsarzt stand langsam auf und näherte sich mit drohender Miene derWärterin, die sofort einen Schritt zurückwich.	NN
– » Sie sehen, meine Herren, « erklärte der daraufhin zu den übrigen Ärzten, » das Weib ist ebenfalls hysterisch, wie der Soldat Zavadil; - - - Duplizität der Fälle! «	DS
 - - -	NN
Hierauf legten sich alle zur Ruhe.	NN
 - - - - - - - - - - - - - - - - - - - - - - - - - - -–	NN
» Der Herr Stabsarzt läßt dringend bitten, « schnarrte der Meldereiter den noch sehr verschlafenen Gelehrten an, als kaum die ersten Sonnenstrahlen den Saum der nahen Hügel färbten.	DS
Alles blickte erwartungsvoll auf den Professor, der sich augenblicklich an das Bett Zavadils begab.	NN
» 54 Grad Réaumur Blutwärme, unglaublich, « stöhnte der Stabsarzt.	DS
Mostschädel lächelte ungläubig, zog aber entsetzt seine Hand zurück, als er sich an der Stirne des Kranken tatsächlich verbrannte.	NN
» Nehmen Sie die Vorgeschichte der Krankheit auf, « sagte der zögernd nach längerem peinlichem Schweigen zum Stabsarzt.	DS
» Nehmen Sie doch die Vorgeschichte der Krankheit auf und stehen Sie nicht so unentschlossen herum! « schrie der Stabsarzt den jüngsten der Ärzte an.	DS
» Bhagavan Sri Mukhopadaya wüßte vielleicht .. « wagte die indische Wärterin zu beginnen.	DS
Reden Sie, wenn Sie gefragt werden, « unterbrach sie der Stabsarzt.	DS
» Immer der alte verdammte Aberglauben, « fuhr er, zu Mostschädel gewendet, fort.	DS
» Der Laie denkt immer an das Nebensächliche, « begütigte der Professor.	DS
– » Senden Sie mir nur den Bericht, ich habe jetzt dringend zu tun. «––	DS
 - - - - - - - - - - - - - - - - - - - - - - - - - - -–	NN
» Nun, junger Freund, was haben Sie eruiert? « fragte der Gelehrte den Subalternarzt, hinter dem sich eine Menge Offiziere und Ärzte wißbegierig in das Zimmer drängten.	DS
» Die Temperatur ist inzwischen auf 80 Grand gestiegen... «	DS
Der Professor machte ein ungeduldige, abwehrende Bewegung:	NN
» Nun? «	DS
» Patient machte vor zehn Jahren einen Typhus durch, vor zwölf Jahren eine leichte Diphtheritis; Vater an Schädelbruch gestorben, Mutter an Gehirnerschütterung; Großvater an Schädelbruch, Großmutter an Gehirnerschütterung!	DS
