text	stwr
Magdalene sah erstaunt und erschreckt auf.	NN
Aber er fuhr fort:	NN
» Vor einigen Stunden haben Sie mir erklärt, daß Sie mich hassen... jetzt bitte ich Sie, mir hier diese wenigen Worte zu wiederholen. «	DS
Magdalene entzog ihm hastig die Hand und stammelte kaum hörbar:	NN
» Wozu das? «	DS
» Das will ich Ihnen nachher erklären– wiederholen Sie! «	DS
Das junge Mädchen lief in heftigster Bewegung tiefer in das Zimmer hinein.	NN
Sie kehrte Werner den Rücken zu und rang in stummer Angst die Hände.	NN
Plötzlich drehte sie sichum, drückte die verschränkten Hände vor die Augen und rief mit erstickter Stimme:	NN
» Ich– kann es nicht! «	DS
Da fühlte sie sich stürmisch von zwei Armen umschlungen.	NN
» Du kannst es nicht, und warum nicht?	DS
... weil du mich liebst, Magdalene!	DS
Ja, du liebst mich! « rief Werner jubelnd und löste ihr die Hände vom Gesicht.	DS
» Laß mich deine Augen sehen!	DS
... Ist das ein Gefühl, dessen du dich zu schämen hättest?	DS
... Sieh' mich an, wie glücklich und stolz ich bin, indem ich dir sage:	DS
ich liebe dich, Magdalene! «	DS
» Das ist unmöglich!	DS
...	DS
Jene Eiseskälte, die mich zur Verzweiflung brachte– «	DS
» War genau so gemeint, wie deine Schroffheit, die mich jedoch durchaus nicht verzweifeln ließ, « unterbrach sie Werner lächelnd.	DS
» Kind, mit deiner Verstellungskunst war es nicht weit her.	DS
Was deine Lippen mit herben, bitteren Worten gegen mich sündigten, das sühnten deine Augen...	DS
Ich habe dich geliebt seit jenem Augenblick, wo ich dich auf dem Turme sah.	DS
Die Erzählungen des alten Jakob, die ich herauslockte, ohne daß er es merkte, enthüllten mir deine ganze innere Welt und ließen mich erkennen, daß es mir beschieden sei, einen kostbaren Schatz zu heben, an welchem Hunderte vorübergegangen waren, ohne ihn zu bemerken...	DS
Aber ich wußte auch, daß der Vogelsteller, der dies seltene Vöglein einfangen wollte, auf seiner Hut sein müsse, denn es war scheu und blickte mit mißtrauischen Augen in die Welt.	DS
Deshalb hatte ich den Panzer einer kalten Ruhe angelegt und vermied jede heftige Bewegung, sowohl in dem, was ich sagte, wie in meinen Zügen...	DS
Ich habe dich unzähligemal beobachtet, während du keine Ahnung von meiner Nähe hattest.	DS
In der alten stillen Kirche, im Klostergarten, in Jakobs Stube, wo du meine Orangen verschmähtest, und auf dem Mauergärtchen, wenn du den Nachbarskindern Blumen hinabwarfst...	DS
Willst du mein Weib sein, Magdalene? «	DS
Sie richtete sich hoch, mit strahlenden Augen, in seinen Armen auf und hielt ihm, ohne ein Wort zu reden, beide Hände hin.	RP
Und so war der Bund zwischen zwei Menschen geschlossen, von denen noch vor wenigen Augenblicken jeder fremde Beobachter geglaubt haben würde, daß sie sich abstießen wie Eis und Feuer.	IS
Magdalene verbarg dem Geliebten nun nicht länger, wie tief sie in der letzten Zeit gelitten, und erzählte ihm ihr unterirdisches Abenteuer, wobei sie auch nicht einen Gedanken verschwieg, der ihr da drunten durch die Seele geflutet war.	reported;indirect
» Also den sagenhaften zwölf Aposteln habe ich's zu danken, daß ich schneller an mein glückliches Ziel kam, als ich zu hoffen wagte! « rief Werner lachend.	DS
» Weißt du auch noch, was ich dir bei unserem ersten, so stürmisch endenden Gespräch wünschte? «	DS
» Gewiß– jener Apostel... «	DS
