text	stwr
Auf einem so bereiteten Nährboden entwickelt sich im Gymnasiasten gar leicht eine der Schule feindliche Stimmung, zumal wenn diese Schule, wie alles Menschenwerk, an ihrem Organismus auch einige schadhafte Stellen aufweist.	NN
Denn natürlich sind doch die gewissenhaftesten und tüchtigsten Rektoren und Lehrer auch nur Menschen mit menschlichen Schwächen und Eigenheiten.	NN
Diese sind zu allen Zeiten von den Schülern sorgfältig beobachtet, registriert und in der Erzählung ausgeschmückt und übertrieben worden.	RP
Wie dies ohne Verletzung der Pietät geschieht, dafür ist Rogges köstliches „ Pförtnerleben " ein klassisches Beispiel.	NN
Aber neuerdings entwickelt sich auf dem geschilderten Nährboden vielfach statt des Schulhumors das Gift der Nichtachtung, das sich bei solchen Schülern, die Mißerfolge erleben, unter Umständen bis zum Haß steigert.	RP
Der Begriff des Nietzschischen Übermenschen, den gerade manche recht unklare Köpfe von sich selbst hegen, trägt dann zu der Wahnvorstellung bei,	NN
daß der Schüler der unverstandne, große Geist sei, der von den " dummen und übelwollenden Lehrern " aus Bosheit und Beschränktheit niederhalten werde.	IS
Ist dann das Maturitätsexamen eben noch mit Ach und Krach bestanden, so kann sich das „ der Knechtschaft entronnene Individuum " in Äußerungen des Hasses und der Gemeinheit gegen die Lehrer kaum genug thun.	reported;direct
Diese Äußerungen erhalten dann und wann sogar eine sexuelle Färbung durch die vorausgehende Lektüre schlechter Romane und Novellen, durch das Anschauen frivoler Stücke im Theater oder im Variété — Wolzogens Überbrettl!	RP
— und vor allem durch die Flut niederer Sinnlichkeit nud Schamlosigkeit, die sich durch eine gewisse Art vonPostkarten, von Bildern oder Erzählungen der „ Jugend " und des „ Simplicissimus, " vor allem aber der Pariser und der Wiener illustrierten Witzblätter von der Art des „ Pschütt " oder der „ Wiener Karikaturen " auf die Jugend ergießt.	RP
Leider ist auch der so sehr viel höher stehende „ Kladderadatsch " mit seinen unverhüllten, maßlosen Angriffen zum Beispiel auf die Person des Königs Eduard von England von einem schädlichen Einfluß auf das heranwachsende Geschlecht nicht freizusprechen.	RP
Alle diese der Jugend gefährlichen Journale liegen aber keineswegs bloß in den großstädtischen Cafes aus, sie sind längst auch in den Mittelstädten heimisch und arbeiten ohne Unterlaß daran, den jungen Deutschen das Maß von Bescheidenheit und Keuschheit zu rauben, das sie früher von der Jugend romanischer Völker so vorteilhaft unterschied.	NN
Der innere Zusammenhang zwischen den zum Teil schamlosen Bildern der genannten Zeitungen und den in den Bierzeitungen der Abiturienten wiedergegebnen Zeichnungen ist unverkennbar.	RP
Wie weit es aber ein Teil der deutschen akademischen Jugend, die natürlich ganz besonders gern von den Gymnasiasten kopiert wird, in der zeichnerischen Darstellung von Schamlosigkeiten gebracht hat, das kann man mit ästhetischem Ekel wahrnehmen, wenn man einmal eine Bierzeitung von dem sogenannten „ klinischen Vogelschießen " einer bekannten Universität in die Hand bekommt.	NN
Die deutsche höhere Schule kann das unterminierende Walten unsauberer Mächte nicht müßig mit einsehen.	NN
Sie muß mit aller Kraft daran arbeiten, durch erziehende Gestaltung des ganzen Unterrichts, durch direkte Belehrung der Jugend in den Religions- und Geschichtsstunden ihr begreiflich zu machen, daß sie teilweise auf sehr schlüpfrigen Pfaden wandelt, die zum Untergang führen.	reported;indirect
Es muß daran gearbeitet werden, daß etwas von der, wenngleich verstiegnen, so doch durch und durch edeln Freundschaftsschwärmerei Klopstocks, etwas von dem herben, strengen, keuschen Geiste, der die Jünglinge der Freiheitskriege beseelte, auch in unsrer Gymnasialjugend wieder aufwache.	NN
