text	stwr
Kann man mit mehr Anmut für eine kleine Gefälligkeit danken, als es in folgenden Zeilen geschehen ist, die sich unter vielen andern Gelegenheitsgedichten in dem nach seinem Tode für seine Freunde zusammengestellten Gedenkbuch finden?	NN
Sie sind vom Jahre 1876 — man rechne nach —, Anakreon hätte es nicht schöner ausdrücken können!	RP
Wenn Iris mit den bunten Schwingen, Dem Adler gleich an raschem Flug, Windschnell gen Troja Junos Botschaft trug, Mocht' ihr die Luftfahrt leicht gelingen.	DS
Du aber hast weit mehr als sie vollbracht: Du kamst, so kurz vor dunklerNacht, Auf rauhem Pfade, steil und schmal, stiegst unverzagt ins tiefe Thal Den Berg hinab, und ohne Wanken Brachtst du das Buch, nach dem ich frug.	DS
Wie fand' ich Worte je genug, Für so viel Güte dir zu danken?	DS
Hier ferner aus dem Mai 1873 ein launiger Trinkspruch ans Meister Tieck bei der Feier seines hundertjährigen Geburtstages — der beste Beweis für Baudissins Anhänglichkeit an seinen langjährigen Freund:	NN
Meister in Poesie wie in Kritik, Ob deine Wahl romantisch, ob antik, Uns dünkte, was du lasest, wie Musik.	DS
Der Franzmann nennt dich wohl trop fantastique, Doch Shakespeare winkt dir lächelnd speak, o speak!	DS
In deiner Prosa, welche Mosaik Voll feinstem Witz, wie treffend die Replik Im Dialog!	DS
Ja dieser ist, est hic Ein Stern in unsrer Dichterrepublik, Ans Deutschlands Au ´n ein goldumstrahlter Pic.	DS
Hoch laßt ihn leben, unsern Ludovic, Den nie vergessnen, teuern Meister Tieck!	DS
Aus dem Jahre seines Zweiten Brautstandes endlich noch folgendes Gedicht:	NN
In des Wagens dunkler Klause Sitz' ich mit fünf stummen Bären, All' in weiten grauen Mänteln, Drei aus Böhmen, zwei aus Mähren.	DS
Unsre zwölf gekreuzten Beine Gleichen zwölf verschränkten Speeren, Keiner spricht ein Wort, sie schlafen Fest, als ob sie Tote wären.	DS
Während die Gefährten schnarchen, Brauch' ich nicht dem Schlaf zu wehren, Denn ich denk' an dich, Geliebte, Mit dem sehnlichsten Begehren; Mal' im Geist mir heitre Bilder, Wie bei meinem Wiederkehren Wohl die Freude deine schönen, sanften Zuge wird verklären, Wie ich stündlich werde sinnen., Dich zu lieben, dich zu ehren, Immer nur von dir zu lernen Oder neues dich zu lehren.	DS
Immer schürend, unsrer Flammen Reine, heil'ge Glut zu nähren, Unsrer Seele echte Schätze Nie zu mindern, stets zu mehren Und im Guten, Wahren, Schönen Einzusammeln goldne Uhren.	DS
Welch Entzücken, wenn nicht länger Wir von Ländern und von Meeren Fern gehalten uns umarmen, Innig, heiß, mit freut'gen Zähren.	DS
Fahre hurtig, Schwager, blase!	DS
Treibe deine müden Mähren!	DS
Aber kehren wir zur Prosa zurück und werfen wir noch einen Blick auf das preisliche Naturel dieses merkwürdigen Mannes, der wohl das Greisenalter erreichte, aber nie ein Greis wurde.	NN
Denn leider muß ich es mir ja versagen, hier von der Herzlichkeit seiner Beziehungen zu Verwandten und Freunden, von der Einfachheit seiner Lebensweise, von seinem patriarchalischen Verhältnis zu seinen Untergebenen und von der Thatsache zu erzählen, daß seine Pächter ihren Pachtzins aus freien Stücken erhöhten: so stimmte sich unter dem Einflüsse seiner Herzensgüte die ursprüngliche Durchschnittsnatur der Menschen um.	RP
War Baudissin einst ein Knabe von zarter Gesundheit gewesen, so bewährt sich an ihm der alte Erfahrungssatz, daß bei geregelter Lebensweise eine selbstgewählte, freudig rastlose Thätigkeit die Körperkräfte steigert und das Leben verlängert.	NN
