text	stwr
Frau v. Sch... war aufgestanden und, wie um etwas zu holen, in das Nebenzimmer gegangen.	NN
Die Fürstin, die den Zusammenhang schnell begriff, litt für ihre Freundin und suchte das Gespräch zu wenden, um so mehr, da es ihr um Irenes willen sehr unangenehm war.	RP
Aber die Prinzessin bemächtigte sich des Themas mit Leidenschaft.	RP
»	DS
Ah voilà	DS
! « rief sie, » eine neue Illustration zu der unvergleichlichen Vortrefflichkeit von Madame C...!	DS
Also da hat sie wieder einen vielleicht seiner Familie und seinen Pflichten entführt!	DS
O ihr blindenMänner!	DS
Wie wehrlose Mücken schwärmt ihr um die gefährliche Flamme herum, bis ihr hineintaumelt und verbrennt.	DS
Was kümmert es die Flamme?	DS
Sie brennt ungerührt weiter und verschlingt neue Opfer. «	DS
» Nun, das ist die Natur der Flamme, meine Gnädige, « versetzte derHerr; » sollen wir sie deshalb schmähen, weil ihr reizendes Licht so übermächtig zauberisch lockt, daß die Mücke im Sehnsuchtsdrang sich in diesen seligen Tod stürzt? «	DS
»	DS
Ah pardon	DS
!	DS
Hier hört der Vergleich auf, « versetzte die Prinzessin, indem ihr mageres, ohnehin etwas kupferiges Gesicht von Eifer noch mehr erglühte; » die Flamme mordet bewußtlos, deshalb ist sie unschuldig; eine Frau, die wie Madame C... die Kinderschuhe längst ausgetreten hat, die einen guten, rechtschaffenen Mann und ein Kind hat, die	DS
weiß	DS
, was sie tut.	DS
Und das ist ja eben das Abscheuliche an einer Kokette, daß sie mit kaltem Blut, selbst ungerührt, ihre Opfer in das Verderben lockt. «	DS
» Meine Beste, höre doch auf mit diesem ewigen Verfolgen von Madame C.... « sagte die Fürstin, » du ziehst nur den Verdacht auf dich, du habest ein persönliches Motiv dabei, was bei deinem edlen Herzen gewiß nicht der Fall ist.	DS
Eine Frau von großem Talent, die, auf dieses Talent gestützt, allein hinaustritt in die Welt, hat bei den heutigen sozialen Begriffen noch einen so schweren Stand, daß es fast unmöglich für sie ist, nicht gegen hergebrachte Meinungen anzustoßen, wenn sie den mannigfaltigen, reichen Bedürfnissen einer Künstlernatur genügen will, und das muß sie doch um ihres Talentes willen.	DS
Ich gestehe, ich bin selbst sehr begierig auf die Bekanntschaft mit Madame C..., um mir mein eigenes Urteil zu bilden und ich hoffe, wir begegnen ihr irgendwo auf der Reise. «	DS
Nach mehreren Tagen kehrte Iwan zurück.	NN
Frau v. Sch..., die nicht mehr daran zweifelte, daß es ihr Sohn gewesen sei, der mit Ludmilla zusammen gesehen worden war, war äußerst unwohl von der tiefen, schmerzlichen Erschütterung, die ihr dieser erste Betrug, den sie von ihm erlitten hatte, verursachte.	IS
Sie verbrachte ihre Nächte in Tränen und ihre Tage in dumpfem Brüten.	NN
Vergebens wollte Sergei es ihr ausreden, daß es Iwan gewesen sei.	IS
Sie war aus ihrem Vertrauenstraum geweckt und wie es oft zu gehen pflegt bei weichen, hingebenden Naturen, wenn sie gewaltsam zum Bewußtsein gebracht werden: das Mißtrauen war für immer bei ihr eingezogen.	NN
Sie lag unwohl zu Bett, als Iwan am Abend ankam.	NN
Sie wollte sich zwingen, kalt zu sein, aber als der Liebling nun vor ihr stand und der Gedanke über sie kam, daß dieser Sohn, ihr Stolz, ihre Hoffnung für die Zukunft, sie so getäuscht, so absichtlich verletzend gehandelt hatte, da verwandelte sich ihr Zorn in grenzenlosen Schmerz und sie weinte laut.	IS
