text	stwr
Die Dichterin, von der ich sprach, hat ihn mir geschrieben.	DS
Denn ich habe in ihrem Dasein eine kurze, aber bedeutungsvolle Rolle gespielt.	DS
Da sie längst nicht mehr atmet und mit dem wenigen, das sie hervorgebracht, verschollen und vergessen ist, so kann ich Ihnen das Erlebnis mitteilen, das jetzt mit allen Einzelheiten in der Erinnerung vor mir auftaucht. «	DS
*	NN
*	NN
*	NN
» Es war vor ungefähr fünfundzwanzig Jahren.	DS
Ich hatte schon damals angefangen, aus der Mode zu kommen.	DS
In meinem Schaffen war ein Stillstand eingetreten, und die allgemeine Aufmerksamkeit wandte sich neuen, glänzenderen Erscheinungen zu.	DS
Dennoch verkehrte ich noch in der großen Welt, da sich einmal angeknüpfte Beziehungen nicht so leicht abbrechen lassen.	DS
So fand ich mich auch bei einer Soiree ein, die noch nach Schluß der Saison in einem prachtliebenden plutokratischen Hausestattfand.	DS
Gleich bei meinem Eintritt kam der Hausherr, der mit seiner Gattin zum Empfang der Gäste nahe der Tür stand, auf mich zu.	DS
› Sie können mir eine große Gefälligkeit erweisen ‹, sagte er, mich vertraulich unter dem Arm fassend.	DS
› Es ist heute eine junge Damehier, die verwaiste Tochter eines höheren Beamten, mit dem einst mein Vater in Verbindung gestanden.	DS
Sie versucht sich als Schriftstellerin, und meine Frau, die sich für sie interessiert, bestand darauf, daß sie eingeladen werde.	DS
Ich dachte, sie würde sich entschuldigen lassen, denn sie lebt ganz zurückgezogen in bescheidensten Verhältnissen.	DS
Nun ist sie aber doch gekommen und dürfte sich unter den vielen ihr unbekannten Menschen ziemlich vereinsamt fühlen.	DS
Da wäre es denn sehr edel von Ihnen, wenn Sie sich ihrer ein bißchen annehmen wollten.	DS
Möglicherweise ist Ihnen auch ihr Name nicht mehr ganz unbekannt, da sie doch schon einiges veröffentlicht hat. ‹	DS
Es zeigte sich nun, daß ich wirklich eine Novelle in Erinnerung hatte, die in einer Tageszeitung erschienen und mir durch sehr lebendige Milieuschilderung angenehm aufgefallen war.	DS
Sie spielte irgendwo auf einem adeligen Gute und war offenbar unter dem Einflusse Turgenjews entstanden, der damals viel gelesen wurde.	DS
Auch hatte ich in einem poetischen Jahrbuche von derselben Verfasserin zwei Gedichte gefunden, die eine ungewöhnlich tiefe Empfindung bekundeten.	DS
Obgleich ich der persönlichen Bekanntschaft mit Autoren beiderlei Geschlechtes immer gern aus dem Wege ging, so konnte ich jetzt doch nicht umhin, dem Hausherrn meine Bereitwilligkeit auszusprechen.	DS
› Schön.	DS
Da werde ich Sie gleich vorstellen ‹, sagte er und lenkte mich durch den bereits stark gefüllten Saal in ein Nebengemach, wo sich sitzende und stehende Gruppen von Herren und Damen befanden.	DS
In der Ecke eines kleinen Sofas war eine weißgekleidete Frauengestalt zu erblicken, die eine rote Kamelie im schlicht gescheitelten blonden Haar trug.	DS
Sie befand sich im Gespräch mit einem noch sehr jungen Manne, einem nahen Anverwandten des Hauses, der neben ihr in einem Fauteuil saß.	DS
Es war eine Dichterin und ihr Nachbar erhob sich sofort wie erlöst, als jetzt die Vorstellungerfolgte.	DS
Ich nahm seinen Platz ein und sagte der Dame einiges Verbindliche über ihre mir bekannten Leistungen.	DS
Sie errötete bis unter die Stirnhaare.	DS
› Sie kennen also meine Versuche? ‹ sagte sie mit vibrierender, etwas klangloser Stimme.	DS
› Gewiß.	DS
Und ich kann nur wiederholen, daß sie mir sehr gefallen haben. ‹	DS
