text	stwr
Nicht im mindesten!	DS
Ich höre heute zum ersten Male davon reden! «	DS
» Nun, wenn Sie also keine andere Quelle kennen, so müssen Sie sich schon an meine Redaktion halten, die ich nach bestem Wissen und Gewissen besorgt habe.	DS
Ichbeteuere, daß auch nicht die leiseste Spur von Koketterie und Schlauheit soll zwischen den Zeilen zu lesen sein, und ich bitte Sie, hochzuverehrendes Fräulein, nichts hineinlegen zu wollen, was heineinzulegen ich nicht die Absicht hatte! «	DS
» Und ich bitte den hochzuverehrenden Herrn tausendmal um Verzeihung, wenn meine Vermutung beleidigend war, daß der armen Frau Hedwig noch ein Rest von eigenem Willen hätte vergönnt sein können im Punkte des Heiratens! «	DS
» Ei, mein ungnädiges Fräulein, warum denn so gereizt?	DS
Ich wehre mich ja lediglich für eine Frauengestalt, die durch ihre Hilflosigkeit nur gewinnt und dem Geschlechte zur Zierde gereicht! «	DS
» Ei, natürlich, ja!	DS
So versteh' ich es ja auch! « sagte Lucie mit fröhlichem Lachen, welches ihre Locken anmutig bewegte; » ein sanftes Wollschäfchen mehr auf dem Markte!	DS
Diesmal handelt es sich noch um die Nutzbarkeit einer guten Wirtschafterin, und wir müssen gestehen, Sie haben das Thema fast wie ein Kinder- und Hausmärchen herausgestrichen! «	DS
» Aber, liebe Lux «, rief jetzt der Oberst, » sei doch nicht so zänkisch!	DS
Du hast ja, Gott sei Dank, nicht nötig, dich über diese Dinge zu ereifern, wenn du doch unverheiratet bleiben und mein Alter verschönern willst!	DS
In dieser Hoffnung will ich dir übrigens jetzt etwas Hilfe bringen!	DS
Mit unserer Wahlfreiheit und -herrlichkeit, bester Freund, ist es nämlich nicht gar so weit her, und wir dürfen nicht zu sehr darauf pochen!	DS
Wenigstens hab' ich die Ehre, Ihnen in mir einen alten Junggesellen vorzustellen, der vor langen Jahren einst zum Gegenstande der Wahlüberlegung eines Frauenzimmers geworden, als er nur die Hand glaubte ausrecken zu dürfen, und dabei so schmählich unterlegen ist, daß ihm das Heiraten für immer verging.	DS
Wenn ihr es hörenwollt, so will ich euch das Abenteuer, so gut ich kann, erzählen; es lächert micht jetzt und zugleich gelüstet mich, es vor meinem Ende zum ersten Male jemandem zu erzählen oder schwatzend zu redigieren, wie unser Freund Reinhart sich ausdrückt. «	DS
Die jungen Leute bezeugten natürlich ihreNeugierde, die sie beide auch empfanden, und sie baten den Oheim, mit seinen Mitteilungen nicht zurückzuhalten.	reported;indirect
Er warf noch einen aufmerksam forschenden Blick auf Reinharts Gesicht, blickte hierauf nachdenklich zu Boden und ließ seinen weichen silbernen Schnurrbart durch die Finger laufen, als er seine Rede begann.	RP
» Es ist bald geschehen, daß man alt wird( sagte er), so rasch, daß man beim Rückblick auf den durchlaufenen Weg sich nur auf einzelnes etwa besinnen und sich namentlich nicht mit reumütigen Betrachtungen über die begangenen dummen Streiche aufhalten kann.	DS
Denn dieselben scheinen in der perspektivischen Verkürzung so dicht hintereinander zu stehen wie jene Meilensteine, welche der Reiter für die Leichensteine eines Kirchhofes ansah, als er auf seinem Zauberpferde an ihnen vorüberjagte.	DS
Dennoch gibt es eine Art von Fehlern, Begehungen oder Unterlassungen scheinbar ganz unbedeutender und harmloser Art, welche ihrer Folgen wegen zehnmal schwerer im Gedächtnis haftenbleiben, als die gröberen Vergehungen und Versäumnisse, und während wir diese in unserem Sinne längst genugsam bedauert und gebüßt haben, überkommt uns immer wieder Reu und Ärger, sobald jene in der Erinnerung aufleben.	DS
