text	stwr
Sie ist nicht eine Reihe von mehr oder weniger unterhaltenden oder geschichtlich und biographisch wertvollen	RP
Erinnerungen eines sechzig Jahre alt gewordenen Mannes; sie hat kein Bild derjenigen Zeit geliefert, worin sich dieses jedenfalls fruchtbare Leben entwickelt und entfaltet hat; sie trägt auch nicht den Charakter von Bekenntnissen einer Menschenseele, die sich vor der ewigen Wahrheit bescheiden entlasten will; sondern überall bekundet sie etwas von all diesen Grundtypen von Selbstbiographien, im ganzen aber ist sie eine litterarhistorische Apologie des Verfassers selbst geworden.	RP
Die Kärrnerarbeit, die nach einem boshaften Worte die Litteraturgelehrten nach dem Tode der großen Dichter und Schriftsteller zu verrichten pflegen, hat hier Hamerling, gleichsam hinter sich selber einhergehend, selbst übernommen, er ist sein eigner Litterarhistoriker in diesem Buche geworden.	RP
Und darum mangelt es ihm an Größe, wie ihm diese Durchkreuzung und Verflechtung der verschiednen Absichten die künstlerische Einheit verdorben hat.	NN
Die merkwürdige künstlerische Unklarheit und Unentschiedenheit, mit der Hamerling an dieser Biographie gearbeitet hat, mag an einzelnen Stellen erläutert werden.	RP
So teilt er aus dem Jahre 1848, wo er als achtzehnjähriger Student der Wiener Universität auch in die revolutionäre Strömung mitgezogen war, ein für den jungen Dichter sehr charakteristisches politisches Schriftstück mit, das die „ Aufgaben des Reichstages " so zusammenfaßte, wie er sie sich in früher politischer Reife gedacht hatte.	RP
Aber unbefangen, mit der Sachlichkeit des seiner Sache sichern Historikers vermag Hamerling so ein Aktenstück nicht mitzuteilen, sondern er fügt noch folgende Glosse hinzu, die geradezu komisch wirkt und zeigt, wie nervös der Erzähler ist:	RP
„ Erscheint dieser jugendliche Erguß zum Teil vielleicht als Echo der damaligen Zeitideen, so ist auch dieses doch so stark individuell gefärbt, im guten und schlimmen Sinne so charakteristisch, daß Freund und Feind über die Eitelkeit, die scheinbar in der Wiedergabe des Artikels an dieser Stelle liegt, ohne sonderliches Hohngegrinse sich hinwegsetzen kann. "	DS
Diese Bemerkung ist geradezu krankhaft; denn als Geschichtschreiber, und war es auch als sein eigner, hatte Hamerling die Pflicht, dergleichen Aufsätze mitzuteilen, und nur sein fortwährendes Bemühen, nicht bloß seinen Lebensgang darzustellen, sondern auch ihn zu beurteilen( gerade so wenig naiv wie die Form seiner epischen Darstellung im „ König von Sion ") hat ihn fortwährend Feinde um sich sehen lassen.	RP
Ein andermal, wo er von seinem fleißigen, aber auch entbehrungsreichen Studentenleben spricht, wo er sich armselig von Seminarstipendien und Studentengaben erhielt, berichtet er von seinen vielfachen Beziehungen zu schönen Mädchen und bemerkt wieder, einen beschränkten Leser voraussetzend:	RP
„ Wenn ich bei dieser Gelegenheit eine ziemliche Anzahl weiblicher Gestalten die Musterung passiren lasse, so wird gegen den Vorwurf der Flatterhaftigkeit mich die Beschaffenheit der Beziehungen schützen. "	DS
Hamerling war damals erst zwanzig Jahre alt.	NN
Welch einfältigen und boshaften Leser setzt er voraus, wenn er befürchtet, daß der zwanzigjährige,	reported;indirect
für Frauenschönheit wie alle reicher angelegte Mannesnatur überaus empfängliche Jüngling deswegen als „ flatterhaft " verurteilt werden könnte, weil er für mehrere Mädchen hinter einander schwärmte!	IS
Diese Entschuldigungen des Dichters sind in Wahrheit mehr verletzend als versöhnend.	RP
Ausdrücklich erklärt er einmal, daß der Verkehr eines Dichters mit der Frauenwelt sehr charakteristisch für sein Wesen sei.	IS
Aber so oft er dazu kommt, von solchen Begegnungen zu berichten, glaubt er sich gegen den Vorwurf der Eitelkeit verteidigen zu müssen.	RP
