text	stwr
Ganz hinten schien noch ein Platz frei zu sein.	NN
Er durchschritt und musterte die Reihen der Tische mit der Ruhe und Sicherheit eines Großstädters, und richtig, hinten in einer Ecke saß an einem Tische ein einziger Gast, der ein paar zerdrückte, weiße Handschuhe vor sich liegen hatte und sie kopfschüttelnd betrachtete.	NN
Als der Fremde an den Tisch trat, schaute der Sitzende zerstreut auf.	NN
Er stutzte einenAugenblick, dann sprang er auf und rief mit der lauten Freude eines gesunden Naturkindes: Fritz Flügger!	DS
Donner und Doria!	DS
Mensch, wie kommst du hierher?	DS
Sie sahen sich beide eine Weile unverwandt an und schüttelten sich fröhlich und kräftig die Hände.	NN
Nil admirari!	DS
rief Flügger lachend.	NN
Aber dich alten Türken hier wiederzusehn, von dem ich glaubte, er sei auf Ostpreußens grogbetauten Fluren als Schulassessor oder wohlbestallter Amtsordinarius von Quarta, das hätte ich mir in meinem Berliner Redaktionszimmer nicht träumen lassen.	DS
Und die weißen Handschuhe hier?	DS
Welch ein Zeichen!	DS
Ah, nun weiß ich alles!	DS
Karl Wichtel, Unglücksrabe — so müssen wir uns wiedersehn!	DS
Also auch du?	DS
rief Wichtel schnell und sah ihn erwartungsvoll an.	NN
Fritz Flügger hatte den Überzieher abgelegt und sich hingesetzt.	NN
Natürlich.	DS
Hier, Citation zum Rigorosum!	DS
Ja, weißt du,	DS
ich habe lange geschwankt, aber in diesem titelsüchtigen Deutschland ist man als akademisch gebildeter Mann verraten und verkauft, wenn man sich nicht Doktor nennen darf.	DS
Und nun gar wir Menschen vom verfehlten Beruf!	DS
Es ging nicht mehr, und da habe ich mich denn trutziglich in die Kulturgeschichte des vorigen Jahrhunderts gestürzt und eine gelehrte Dissertation über die wirtschaftliche Lage Ostfrieslands im Jahre 1744 zusammengelesen.	DS
Mit genauer	DS
Not habe ich sie dem Lammert, diesem alten	DS
Manegereiter der Haupt- und Staatsaktionen, aufgeteufelt.	DS
Ich sage dir, der Mensch wird geradezu toll, wenn man ihm mit Kulturgeschichte kommt.	DS
Mein Opus wanderte hin und her.	DS
Endlich nahm ers zähneknirschend an, fügte aber die niederträchtige Bemerkung hinzu, daß bei ihm alles von der mündlichen Prüfung abhinge, die sich nicht mit kulturgeschichtlichen Faxen, sondern mit der wirklichen Geschichtswissenschaft, nämlich der politischen Geschichte, beschäftigen würde.	DS
Ja, sagte Karl traurig, ich habe seine letzten Schriften über das sechzehnte Jahrhundert gelesen.	DS
Es ist zum Sterben.	DS
J, der Kerl weiß überhaupt nicht mehr, was er thut, wenigstens nicht mehr, was er alles unterschreibt.	DS
Es giebt kaum einen Aufruf, den dieser alte Stockfisch nicht unterzeichnet hätte.	DS
Bald steht sein Name unter einem konservativ-antisemitischen Notschrei, bald unter einer Sammelliste für ausgewiesene russische Juden.	DS
Hier sieht man ihn als Mitglied des deutschen Sprachvereins, dort erklärt er sich gegen den Eifer der Puristen.	DS
Nun ist ja heutzutage leider Gottes nichts wohlfeiler, als die Unterschrift eines Universitätsprofessors unter irgend einem Schnickschnack; aber daß dieser ausgesprochne Gegner aller parlamentarischen Regierungsform seinen Namen unter einen liberalen Wahlaufruf setzen konnte, das ist denn doch zum Tollwerden.	DS
Na, gnade uns Gott!	DS
Nun sag mal, Kerlchen, ich verstehe nicht recht, du hast doch dein Staatsexamen gemacht, promoviren willst du nicht, was treibt dich noch einmal in diese Marterhöhle?	DS
Gemacht habe ichs, sagte Karl bitter, aber die Urkunde, die mir Lammert darüber ausgestellt hat, ist kein Zeugnis, sondern ein Steckbrief gemeinsterSorte.	DS
