text	stwr
Wie die Mägde und Marktweiber bei Johann, so hätten die paar Hofdamen gern diese einzige Gelegenheit benützt, seinen Frauenhaß durch süße Blicke zu brechen oder durch spitze Worte zu rächen; aber alle Versuche glitten ab an der äußersten Gleichgültigkeit, mit der er die schönste wie die häßlichste Gestalt gleich entschieden als Luft behandelte und seine feierliche Höflichkeit allein der gebietenden Frau zuwandte.	RP
Auch die Kirche fing er seit jener Zeit an zu besuchen und erregte das Erstaunen und Ergötzen der Schuljugend durch den großen Muff, mit dem er sich zur Winterszeit gegen die Kälte schützte.	NN
Niemand in der Stadt Kirchheim hatte ihn jung gesehen; er hatte schon das Ansehen eines bejahrten Mannes, als er seine Einsiedelei zum erstenmal verlassen.	NN
Nur ein Band gab es, das den scheuen Freiherrn noch mit den Menschen verband, nur	RP
eine	RP
Freude, der er nicht entsagt hatte,– die des Wohltuns.	RP
Wo er eine bekannte oder verborgene Not erfuhr, da war seine Hand stets offen, natürlich so still und heimlich wie möglich.	NN
Viel Freude konnte nun freilich auch nicht dabei sein, da er fast nie den Dank aus eines Armen Munde selbst empfing; aber doch ist manch stilles Gebet für ihn emporgestiegen und hat einen Friedenshauch in sein verdüstertes Dasein gebracht, ohne daß er wußte, woher er ihm gekommen.	reported;indirect
Außer den Armen war ihm wohl niemand so gewogen wie die Lichterzieher, die gern der halben Bevölkerung zugunsten ihres Gewerbes eine so menschenfeindliche Laune gewünscht hätten; wie es denn überhaupt eine tröstliche und daneben eine höchst leidige Eigenschaft des Menschenlebens ist, daß jedes Unglück des einen für den andern eine Lichtseite hat.	NN
Wir sind ein Raubvogelgeschlecht, wo sich jeder, vom Generalfeldmarschall bis zum Totengräber, von einem Stückchen menschlicher Vergänglichkeit oder menschlichen Jammers nährt.	NN
Ich hörte eine Frau Apothekerin einst ganz ärgerlich sagen:	NN
» Jetzt kommt d' Cholera erst nicht! «	DS
Hagelwetter und Katzenmusiken sind die Blütezeit der Glaser; bei der » herannahenden Saison der Rheumatismen « preisen die » wollenen Warenhändler « vergnügt ihre Waren an; die zerrissenen Stiefel, die den Jungen Schläge und Schelte eintragen, helfen den Kindern des armen Schusters zu ihrem täglichen Brot; und so war das verstörte Gemüt des Freiherrn, das ihm das Tageslicht verhaßt machte, ein rechtes Labsal für seinen Nachbar Seifensieder, der sonst die gutmütigste Seele von der Welt war.	RP
Alle Lichter brennen aus, so auch das Lebenslicht des alten Freiherrn.	NN
An einem kühlen, klaren Herbstmorgen öffneten sich zum erstenmal die Fenster und Läden im Herrenbau, zum erstenmal fiel das Sonnenlicht auf das Lager des alten Herrn, als die Leichenschau es umstand, um sich von seinem Tode durch Schlagfluß zu überzeugen.	NN
Ein entfernter Vetter wurde herbeigerufen, um des Freiherrn Erbe in Besitz zu nehmen, das man nach seinen Spenden an die Armut für viel größer gehalten, als sich nun zeigte.	RP
Der junge Baron hatte seinen Vetter im Leben nicht gekannt, aber im Tod interessierte er sich sehr für ihn; er hatte Sinn fürs Romantische und hätte gar zu gern gewußt,	RP
was	IS
denn den alten Herrn zu solch einem verfehlten Dasein voll Nacht und Trübsal gebracht.	IS
Der Freiherr aber hat sein Geheimnis mit in das Grab genommen; den Johann hatte er erst kurz vor seiner Ankunft in Kirchheim gedingt, und so war niemand, der Aufschluß geben konnte.	RP
Nur das Bild einer wunderschönen Dame, das sich im verborgensten Fach eines Schreibtisches gefunden, soll Kunde gegebenhaben, daß der Freiherr wohl nicht sein Leben lang so tiefen Abscheu vor Frauen gehegt hatte.	IS
Ein unverbürgtes Gerücht sagt, daß der junge Erbe an dem Hofe, wo der Freiherr seine Jugend verlebt, einiges erfahren, was das Rätsel lösen konnte: eine alte leidige Geschichte, wie sie bei dem früheren Leben an Höfen wohl nicht die erste war und nicht die letzte blieb: die Geschichte von einem lebensfrischen jungen Pagen, der jahrelang mit der reinen Glut einer jungen Seele, mit stiller, hoffnungsloser Treue zu einer stolzen Schönheit aufgeschaut, und der endlich durch ein fürstliches Fürwort mit	reported;indirect
einem	NN
Schlag an das Ziel seiner Wünsche gekommen war.	NN
