text	stwr
Der Cant hat uns bis in unsre Triebe hinein verdorben, und es wäre ein interessantes Problem, wenn man sich die Frage vorlegte, ob er nicht auch auf das Gepräge unsrer Gesichtszüge eingewirkt und jene eigentümliche Mundbildung hervorgerufen hat, welche die englische Rasse so häufig kennzeichnet.	IS
Wie sehr er in unsern Gedankengang eindringt, kann man an der juristischen Fiktion sehen, daß nichts den Wahrspruch von zwölf englischen Geschwornen aufheben könne.	RP
Ist jemand unschuldig zu Zuchthaus verurteilt, so kann er nur begnadigt, nicht aber wieder in den vorigen Stand eingesetzt werden und für seine Leiden Entschädigung erlangen.	RP
Selbst unsre Sprache zeigt unverkennbare Merkmale von Cant.	NN
Wir nennen eine Menschenklasse licensed victuallers, die gar nicht die Erlaubnis hat, Viktualien zu verkaufen, und dies nur selten thut.	RP
Sie haben die Erlaubnis, alkoholische Getränke zu verkaufen und selbst diese zu verfälschen.	NN
Der bloße Ausdruck enthält eine gleißnerische Lüge, durch deren allgemeine Verwendung und Billigung jetzt eine Körperschaft von Leuten bezeichnet wird, welche früher das Schicksal eines Ministeriums entschied. "	RP
In das Kapitel vom gesellschaftlichen Cant gehört das stete Bestreben der englischen Mittelklassen, sich und andre glauben zu machen, sie seien mehr, als sie in Wirklichkeit sind, und das giebt ihrer ganzen Existenz mit ihren Beschäftigungen und Freuden die Farbe der Unreellität.	IS
Die Dienstboten sind nur glücklich, wenn sie sich wie ihre Herrschaft putzen können.	NN
Ähnlich die Handwerker, die kleinen Kaufleute, selbst Dichter und Schriftsteller.	NN
Dickens z. B. ruinirte sich trotz sehr bedeutender Honorare dadurch, daß er es mit seinen Ausgaben den Lords, mit denen er verkehrte und von denen er eingeladenwurde, gleichzuthun versuchte.	RP
Überall fast mühen sich die englischen Mittelklassen ab, der Welt die Meinung beizubringen, es gebe ein Verbindungsglied zwischen ihnen und den gesellschaftlich höherstehenden, und machen sich dadurch unglücklich.	IS
Ein milde Form des gesellschaftlichen Gleißner- und Scheinwesens ist die Gewohnheit der Parlamentarier und Minister, ihre Reden mit griechischen und lateinischen Zitaten zu spicken.	RP
Diese sind nicht für „ den Verbrauch durch das Publikum " berechnet, sondern sollen nur an die gesellschaftliche Stellung der Redner und ihrer Zuhörer, an die Erziehung derselben zu Gentlemen erinnern, die sie in Eton oder Harrow durchgemacht haben.	RP
Es ist eine allgemein angenommene Einbildung, daß nur vornehme Leute mit dem Griechischen und Lateinischen vertraut seien, obwohl die, welche am häufigsten solche Zitate verüben, vielleicht am wenigsten in die betreffenden Litteraturen eingedrungen sind.	reported;indirect
Sobald irgendwo in der Welt ein Skandal an den Tag kommt, giebt uns der britische Löwe, dieses Wappentier voll Überhebung und Gleißnerei,	NN
sofort sein vergnügtes Gebrüll zu genießen.	NN
Ganz anders, wenn etwas derart zu Hause	NN
aufgedeckt wird.	NN
Dann brüllt er entrüstete Mißbilligung über den Frevel, welcher zeigt, daß Jupiter Ammon mit Sägespänen ausgestopft ist.	RP
Kaum hatte die englische Gesellschaft den unangenehmen Eindruck der Grevilleschen Memoiren verwunden, in welchen sie daran erinnert wurde, daß Albion noch vor kurzem von einem Dummkopfe und vor ihm von einem elenden Wüstling regiert worden war, als die Biographie Samuel Wilberforces und die Briefe Carlyles und seiner Frau erschienen.	IS
Was für Enthüllungen!	DS
heulte die wohlgekleidete respektable Menge.	NN
Welche Frechheit, welche unverzeihliche Indiskretion, den Schleier von dem Privatleben verstorbener hervorragender Männer zu heben!	DS
