text	stwr
„ Sie haben mich alle nur Lo genannt; und wir sind durch bunte und viele Länder gezogen, " antwortete sie hastig.	DS
„ Woher und wohin, das kann ich nicht nennen... Was man den Gesetzmännern hat antworten müssen, hat immer der Häuptling gewußt.	DS
Der hat überhaupt eine gewaltige Hand über uns gehabt.	DS
Wie die Hunde haben sie sich vor ihm geduckt, alle, alle.	DS
Aber als er mich hat zu sich zwingen wollen, da bin ich ihm fortgelaufen — "	DS
Sie schüttelte ihre braunen Fäuste in die Lufthin, als ob sie Ketten abgestreift hätte.	NN
„ Nun ist es schon vielmal Nacht geworden, seit ich von ihrem großen Feuer weggeschlichen bin, und ich habe gegen den Hunger nichts gehabt als ein paar Lebkuchenherzen, die mir die dummen verliebten Burschen am letzten Tag — es war Jahrmarkt im Dorf — geschenkt hatten. "	DS
"	NN
„ Aber du blutest ja am Fuß, unterbrach der Wegwart erschrocken die Worte des Mädchens, die leicht und mit eigentümlich tiefem Ton von ihren Lippen kamen und an das ferne Gurren von Wildtauben gemahnten.	reported;direct
„ Dich hat die Schlange gestochen, " riefer, „ das ist gewiß — die da eben durchs Moos entwich!	DS
Gib deinen Fuß, man muß die Wunde aussaugen! "	DS
Das Dirnlein aber richtete sich wild auf.	NN
„ Nein, nein, du nicht, du nicht, " rief sie, „ du hast auch so einen bunten Kragen und blanke Knöpfe wie die Gesetzesmänner, und du wirst mich fangen oder verjagen; ich hasse die alle — ich will nicht gefangen sein!	DS
Schlangen haben mir nichts an; meine Muhme ist ja die Schlange, — so hat die alte Katty gesagt. "	DS
Der Mann lächelte, hat aber dann mit sanftem Ton zu ihr geredet, so daß die Wilde ganz still wurde, aufs Moos sank und ihm den wehen, kleinen Fuß hinhielt, damit er das Gift aus der Wunde sauge.	RP
Vielleicht haben auch der Hunger und die Erschöpfung ihren starr aufbäumenden Willen für ein Stündlein zum Duldengebeugt.	NN
„ Wie heißt denn Ihr, und was treibt Ihr? " fragte plötzlich die Kleine mit einem kühnen und klaren Ton.	DS
„ Ich bin der Wegwart von dieser Berghöhe, und ich lebe ganz einsam in einem Haus an der großen Heerstraße.	DS
Friedmann ist mein Name. "	DS
„ Da habt Ihr einen sanften Namen, der paßt gut zu Euch, denn Ihr seid stark und doch so — zahm, so zahm wie die artigen Kinder in den Dorfschulen.	DS
Die sagten ihr Sprüchlein und saßen gehorsam an den Plätzen, wo sie still sein sollten.	DS
Da hab' ich mich manchmal geschämt, wenn wir lärmend und bestaubt und in bunten, fetzigen Lumpen vorbeizogen.	DS
Aber, " fügte sie sinnend hinzu, „ am Ende könnte ich 's doch nicht in der artigen Stille aushalten; ich bin eben nicht	DS
von den Feinen, Ordentlichen... " Nein, sie war nicht von den Feinen, Ordentlichen.	DS
Damals, als der stille Mann das wehe, warme Füßchen in seiner großen Hand gefangen hielt und seinen Mund saugend an die Wunde drückte, — als das Dirnchen so besonders redete, Kluges und Närrisches, Freches und Frohes wirr durcheinander, und dann wieder zutraulich Warmes, und als sie ihm mit ihren grauflimmernden Blicken so brennend nahe war, — da ist etwas in dem starken Mann erschüttert worden, daß sein ganzes Wesen in ein fremdes Zittern geriet.	RP
