text	stwr
Die tiefste Wirkung übt unter diesen rituellen Gebräuchen ohne jeden Zweifel der jüdische Taufakt aus.	NN
Es ist kein sehr angenehmer Gegenstand, den ich hier berühre, aber wem es Ernst ist um die Sache, der wird die Erörterung nicht scheuen.	NN
Man hat wohl darüber gestritten, was die Beschneidung ursprünglich für eine Bedeutung gehabt habe.	IS
Darauf brauchen wir uns nicht einzulassen, denn heute ist sie nichts anders als ein brutales Zwangsmittel, dem Volke der Juden in der Zerstreuung die Stammesgemeinschaft zu wahren.	NN
Etwas wesentlich andres wird sie wohl nie gewesen sein, mit dem Unterschiede freilich, daß ein solches Mittel vor dreitausend Jahren und in der schwülen Nachbarschaft des ägyptischen Isis- und Osirisdienstes und der phönikischen Baal- und Astarteverehrung mehr am Platze war, als in der gesitteten Gesellschaft des modernen Europas.	NN
Auch die christlichen Konfessionen haben ja gewisse Zwangsmittel, die Gemeinschaft der Gläubigen zuerhalten, und sie folgen damit schließlich nur dem Triebe der Selbsterhaltung, der jede Körperschaft, die durch ein rein ideales Band zusammengehalten wird, nötigt, eine gelinde Polizei über das Gewissen ihrer Mitglieder auszuüben.	NN
So hat die katholische Kirche die Ohrenbeichte, und schon diesen Zwang empfanden die Deutschen mit beginnender Neuzeit als so drückend, daß sie dagegen „ protestirten. "	RP
Aber auch die protestantische Kirche behielt die Konfirmation bei, die man bei der moralischen Unselbständigkeit der Konfirmanden doch auch nur als ein gebotenes Zwangsmittel auffassen kann, das etwa dem staatlichen Unterrichtszwang im Charakter gleichzustellen ist.	RP
Aber die Beichte sowohl wie die Konfirmation üben doch nur einen geistigen Zwang aus, und wer sich ihnen in reifern Jahren entziehen will, der kann das ohne die geringste Schwierigkeit thun; niemand, der aus einer christlichen Konfession ausscheiden will, kann daran verhindert werden, dies so zu thun, daß nichts von der alten Gemeinschaft an seinem Leibe oder seiner Seele hängen bleibt.	NN
Dem Juden ist das nicht möglich.	NN
Wie könnte er mit seinem Fühlen und Denken in der Seele eines andern Volks aufgehen, da er das Bewußtsein nicht loswerden kann:	RP
du trägst an deinem Leibe das Merkmal, daß du ein Jude bist!	DS
Man unterschütze die moralische Hemmkraft dieses Bewußtseins ja nicht, und man lasse sich vor allem nicht durch das alberne Geschwätz der Radauantisemiten irre machen, die dem Juden alle und jede moralische Regung abspreche «.	RP
Mit einem Menschen wie Ahlwardt, der jedes sittlichen Bewußtseins bar ist, muß man sich eben nicht über die Wirkungen einer solchen Empfindung unterhalten.	RP
Bedeutend	NN
lehrreicher ist es, zu beobachten, wie das Bewußtsein eines körperlichen Mangels auf das Selbstbewußtsein eines Menschen überhaupt drückt.	NN
Wie ängstlich achtet nicht jemand, dem auch nur ein Glied des kleinen Fingers fehlt, darauf, Fremden die Hand nur geschlossen zu zeigen!	NN
Und wie fassungslos und verlegen wird nicht oft ein solcher Mensch, wenn jemand, dem dieser Mangel unbekannt war, ihn unvermutet bei ihm entdeckt.	NN
Es muß schon ein sehr selbständiger Charakter sein, der das niederdrückende Gefühl eines körperlichen Fehlers in jeder Lage übermüdet.	NN
Bei dem Juden kommt nun aber noch hinzu, daß er offenbar weiß, wie er um seines Mangels willen von andern Völkern verachtet wird.	IS
Ich wenigstens bin der Meinung, daß ein guter Teil der Mißachtung, die der Europäer, besonders der Germane, und um den handelt sichs ja hier, dem Juden entgegenbringt, auf Rechnung der zwar unbewußten, darum aber um so gesundem Geringschätzung gegen Menschen kommt, die ihren Leib von andern Menschen verstümmeln lassen.	IS
Wie sollte der Deutsche, dem es für ehrlos galt, auch nur sein Haupthaar von fremder Hand berühren zu lassen, nicht eine alt eingewurzelte Abneigung hegen gegen Verschnittene und Beschnittene.	NN
