text	stwr
Sie war nie mit andern Kindern herumgesprungen, um ja nicht Kleider und Schuhe zu zerreißen, und je älter sie wurde, desto mehr trat dieser praktische Sinn hervor.	NN
Man sagte ihr nach, sie gehe barfuß, sobald sie vor dem Dorfe sei, um ihre Schuhe zu schonen, und wo sie im Grasen gewesen, da sei der Boden wie vom Barbier rasiert.	IS
Georg dagegen war ein sorgloser, leichtsinniger Bursch, dem alles, was teuer war, am besten gefiel und am besten schmeckte, rasch, hitzig und unbedacht, ein » Schußbartle « nach dem Volksausdruck, und gescheite Leute meinten, er und Lisbeth passen nimmermehr zusammen, sie seien gar zu zweierlei; noch gescheitere fanden das eben gut: » Die können einander helfen; was er vertut, das kann sie hereinhausen. «	indirect;direct
In Wahrheit konnten die zwei nicht voneinander lassen, wie oft sie sich auch gegenseitig erzürnten.	NN
Georg verhöhnte Lisbeth, wo er konnte, wegen ihrer Sparsamkeit.	NN
Einmal lud er ein Dutzend junge Bursche und Mädchen in ihrem Namen zum Karz( Spinnstube) ein.	RP
Lisbeth spann eben im Mondenlicht wie das Waldfräulein, aber nicht aus Romantik, sondern um Öl zu sparen; da polterten ihre unerwarteten Gäste herein und lachten hell auf, als nicht einmal Licht in der Stube war.	NN
Georg kam hinterdrein und klärte den Spaß auf; Lisbeth aber mußte, wohl oder übel, Licht anzünden und Äpfelküchlein backen.	RP
Ein andermal kamen drei alte Weiber aus dem Armenhause und bedankten sich gar schön bei ihr für Speck und Fleisch, das sie ihnen geschickt hatte.	RP
Lisbeth wußte nicht, wie ihr geschah.	IS
Sie führte als einzige Tochter den Haushalt des verwitweten Vaters und hatte die bestausgestattete Rauchkammer im Dorfe; man behauptete aber, sie lasse denVater, wenn er Kraut esse, nur riechen am Speck und habe so den ganzen Winter an	IS
einer	IS
Speckseite; wie würde sie nun Bettelweibern Speck und Fleisch schicken!	indirect;freeIndirect
Tödlich erschrocken sah sie in der Rauchkammer nach– da war freilich eine bedeutende Lücke;– das hatte kein andrer Mensch als der Georg getan!	FI
Nehmen konnte sie den Weibern das Fleisch nicht wieder, und so mußte sie mit sauersüßem Gesicht den Dank für ihre unfreiwillige Großmut hinnehmen.	NN
Der Georg aber sollte es büßen, und als er nach einer Weile mit pfiffigem Lachen über den Zaun herüberblickte, da sagte sie ihm in geläufigem und lichtvollem Vortrag die Wahrheit umsonst über sein faules und nichtsnutziges Leben und verhieß ihm ganz und gar keine lockende Zukunft.	RP
Sonntags drauf wollte Georg auch trutzen, er schloß sich an des Adlerwirts Sohn an und zog an der Lisbeth Haus vorüber, andern Mädchen nach.	NN
Lisbeth war nicht vor dem Hause und nicht am Fenster zu sehen; daheim aber fuhr sie herum wie unsinnig, und als Georg spät am Abend nach Hause kam, da hatte sie scheint's noch Geschäfte im Hausgärtchen, sie sah ihn aber gar nicht, bewahre!	NN
» Guten Abend! « rief Georg hinüber.	DS
– Keine Antwort.	RP
– » Warum bist nicht auch spazieren gegangen? «	DS
– » Hab' noch gar nicht Zeit gehabt nur zum' nausgucken, meine Dote ist hier gewesen, « sagte Lisbeth kurz.	DS
– » Schön Wetter heut, « hub etwas verlegen Georg wieder an, der nicht recht wußte, wie er anknüpfen sollte.	indirect;direct
