text	stwr
Schweigen des Todes.	RP
Dann sah er aus der Zuschrift auf und sagte:	NN
» Meine Herren, der Krieg ist erklärt. «	DS
Und wieder geschahs, daß nicht sofort bei uns Offizieren der Jubel ausbrechen konnte.	NN
Die Nachricht, stündlich erwartet, war doch zuüberwältigend.	NN
Nur ein junger Dragonerleutnant, der vielleicht sein Champagnerglas etwas zu häufig hatte den Weg machen lassen zwischen Tisch und Zunge, rief laut: » Na, denn man druff wie Blücher! «	DS
Ein strenger Blick seines Regimentskommandeurs traf ihn; dann wandte dieser seine Augen ein wenig ängstlich auf den General.	NN
Doch die Exzellenz nahm das Wort lustig auf und wiederholte: » Ja, meine Herren, denn man druff wie Blücher! «	DS
In hoher Erregung schlugen unsere Soldatenherzen.	NN
Auf dem Hofe traf ich gleich darauf den alten Sergeanten Cziczan von meiner Kompagnie.	NN
» Nun, wissen Sie schon, der Krieg ist erklärt. «	DS
» Zu Befell, Herr Leitnant, ich freue mir. «	DS
Dem alten Sergeanten Cziczan war ich sehr gewogen.	NN
Hatten jemals die altpreußische Treue, das altpreußische:	NN
» Über alles geht die Pflicht « eine Verkörperung in einem Menschen gefunden, so wars bei Cziczan.	DS
Mit zwei gewaltigen oberen Vorderzähnen– die anderen Beißer und Zermalmer fehlten ihm wohl schon– gezeichnet, machte sein Gesicht den ewigen Eindruck, als hätte er die Schwindsucht im höchsten Grade.	NN
Aber es gab keinen gesunderen, zäheren Mann als ihn.	NN
Ich eilte zu meinenLeuten.	NN
Beim Eintritt in die Scheune sah ich zurück.	NN
Mein alter Sergeant las eifrig im » kleinen Waldersee «	NN
1	NN
, den er in jeder Lebenslage mit sich führte.	NN
Und jedenfalls ruhte sein Auge in diesem Augenblick auf der Stelle:	NN
Im Gefecht erprobt sich erst der echte Soldat; im Kugelregen und vor der Spitze feindlicher Bajonette muß es sich zeigen, ob er die erste und unentbehrlichste Eigenschaft des Kriegers, Mut und Unerschrockenheit, besitzt.	DS
Schon nach einer Stunde waren wir auf dem Marsche an die Grenze.	NN
Es wollte zuerst keine rechte » Stimmung « aufkommen.	NN
Zu gewaltig in uns allen drängte sich der Gedanke:	NN
wir sind im Kriege.	DS
Aber dann, als der volle Mond unsern Helmen und Gewehren seinen beruhigenden Glanz lieh, als wir auf den Bergen die Fanale brennen sahen, begann bald hier, bald dort ein leises Gespräch mit demNebenmann; bald hier, bald da, wie aus Träumen, wollte der Gesang anheben.	RP
Und endlich tönte eins der schwermütigen, wie mit finsterer Stirn gesungenen Lieder meiner Westfalen.	NN
Und dann, nun dann wechselten die alten, lieben, lustigen Soldatengesänge.	NN
Vor der Kompagnie ritt schweigend unserHauptmann.	NN
Alle, wir Offiziere nicht zum wenigsten, waren ihm schwärmerisch zugethan.	NN
Es gab kein schöneres Soldatengesicht.	NN
Wie ihm der dicke, lange Schnurrbart vom Winde an die gebräunten Backen geweht wurde, wie klug sein Auge schaute.	NN
Er sprach nicht viel; ein gleichmäßiger, darf ich sagen stillheiterer Ernst verließ ihn nie.	RP
Von der nackten Wirklichkeit des Seins tief durchdrungen, fand er seine Ruhe, sein Glück in strengster Pflichterfüllung, in rastlosem Sorgen für das Wohl seiner Mitmenschen und im besonderen seiner Kompagnie.	NN
Und munter, nach dem ersten Rendezvous, marschierten wir in die Nacht hinein.	NN
Der Schritt kam uns heute schneller vor.	RP
War es das gute Fieber im Soldaten, vom Höchstkommandierenden bis zum Tambour, an den Feind zu kommen?	NN
