text	stwr
Es gibt nur eine, die Entfernung der gegenwärtigen Regierung von Kurhessen, die Befreiung des Landes von einem gesetzlosen, tyrannischen Regiment, von einer despotischen Willkürlaune, welche der Haß gegen Preußen bis zur völligen Blindheit gebracht hat.	NN
Auch hier soll sichtbar werden, daß das Schicksal blendet, bevor es vernichtet.	NN
Während diese Zeilen geschrieben werden, ist das 48stündige Ultimatum abgelaufen, welches Preußen an die kurhessische Regierung gestellt hat.	RP
Nach allen Symptomen zu schließen hat der Kurfürst sich nicht zu der Entlassung seines Ministeriums verstanden, er wird voraussichtlich damit zögern, selbst wenn er dem stillen Rathe Oestreichs folgt, nachzugeben, bis die preußischen Truppen in der That sein Land betreten; weicht er dann der Gewalt, so hat er doch die Freude, sein Selbstgefühl bis zum letzten Augenblick zu bewahren und nur dem äußersten Zwange zu weichen.	NN
Aber die jetzt erhobene ForderungPreußens, daß der Kurfürst das Ministerium, welches einen preußischen Abgesandten beleidigt hat,	IS
entlasse, gibt allein doch noch keine Aussicht, den hessischen Streit auf eine ehrenvolle und den Bedürfnissen des hessischen Volkes entsprechende Weise zu erledigen.	IS
Was hindert den Kurfürsten, an der Stelle der gegenwärtigen Minister andere nicht weniger preußenfeindliche zu ernennen?	RP
Wer sie auch sein möchten und wenn sie Hassenpflug hießen, der jetzigen Forderung würde dadurch genügt und der Vorwand zum kräftigen Eingreifen in die Verhältnisse des zerrütteten Staats der preußischen Regierung genommen werden.	NN
Und noch ein Anderes droht Werth und Bedeutung des Ernstes, den Preußen jetzt gezeigthat, zu verringern.	NN
Die active Theilnahme Oestreichs am Einmarsch in Kurhesse.	NN
Schon melden die Zeitungen, daß das Cabinet zu Wien diese Theilnahme gefordert habe.	IS
Die Ehre Preußens gebietet, diese Forderung entschieden zurückzuweisen.	RP
Schon einmal während der Regierung des jetzigen Königs war, wenn wir recht unterrichtet sind, bei ganz anderer Veranlassung eine solche Bewegung östreichischer Truppen nach Norddeutschland beansprucht, und damals von Preußen mit sehr bestimmter Drohung zurückgewiesen worden.	RP
Soll jetzt geschehen dürfen was damals unerhört schien?	NN
Allerdings ist der König von Preußen nicht Bundesfeldherr geworden, nicht nördlich von der Mainlinie, was das Berliner Cabinet damals beanspruchte, nicht irgendwo.	NN
Aber Preußen allein hat das Recht und die Pflicht, wenigstens in diesem Theile von Deutschland Ordnung zu halten, ein Recht, welches höher steht und besser fundirt ist, als alles Recht des Bundes, denn Preußen allein hat die Fähigkeit und Macht, bei einem deutschen Kriege mit dem Westen die kleinen Staaten im Norden des Mains gegen äußere Feinde zu erhalten und zu schützen.	NN
Zu den bittersten Erinnerungen aber aus einer wenig ehrenvollen Vergangcnheit gehören dem preußischen Volke und Heere die Tage, in welchen Truppen aus Süddeutschland unter die deutschen Stämme des Nordens gesandt wurden, dort Polizeidienste zuverrichten.	RP
Das preußische Volk hat die größte Hochachtung vor der Tapferkeit des östreichischen Militärs, es ist durchaus nicht gesonnen, die Machtsphäre Oestreichs zu beeinträchtigen, aber es wird jede östreichische Heeresabtheilung,	RP
welche unter den gegenwärtigen Verhältnissen sich im Norden des Mains aufstellen sollte, für eine Beeinträchtigung preußischer Interessen, für eine tiefe Demüthigung und Beleidigung halten.	RP
Was die Preußen jetzt von ihrer Regierung fordern, ist demnach erstens, daß die Genugthuung für den Schimpf, der Preußen angethan worden, eine vollwichtige und glänzende sei; ferner, daß gegenwärtig die Veranlassung benützt werde, das alte Leiden Kurhessens gründlich und vollständig zu heilen; drittens aber, daß, wenn dies durch preußische Truppen geschieht, nur preußische Truppen, ohne Einmischung irgend eines andern deutschen Staats, die Execution ausführen.	IS
Noch schmerzt die Wunde von Bronzell; das erst würde eine Genugthuung sein.	NN
