text	stwr
Läßt sie noch andre Rücksichten zur Geltung kommen, so können diese unter Umständen sehr fragwürdig sein.	NN
Ungerechtigkeiten gegen mißliebige Personen und Günstlingswirtschaft vermögen hierbei in noch viel häßlicherer Weise ihr Wesen zu treiben, weil es versteckter geschehen kann, und schließlich niemand da ist, der mit seiner Person für sein Urteil einzustehen hat.	NN
Die Verantwortlichkeit einer Kommission ist immer eine zweifelhafte Sache.	NN
Ein seinem obersten Kriegsherrn verantwort	NN
licher Vorgesetzter, der der gleichen Behandlung unterworfen war und ihr noch untersteht, erscheint doch wohl zuverlässiger.	NN
Handelt die Kommission so wie sie soll, also nach der einzigen Richtschnur der Förderung der Armee und der kriegerischen Erziehung des wehrfähigen Volkes, so wird sie nur in sehr seltnen Fällen anders urteilen als dieVorgesetzten, und diese seltnen Fälle werden sich gegenseitig aufheben.	RP
Machen sich aber in der Kommission andre Rücksichten geltend als die rein militärischen, etwa auf die Interessen der Offiziere als Bürger, Familienväter usw., so würde das wohl für den oder jenen Offizier angenehm und für den Pensionsfonds günstig sein, aber die Schlagfertigkeit der Armee würde darunter leiden.	NN
Es ist ferner, auch in der erwähnten Stuttgarter Broschüre, die gesetzliche Feststellung von Altersgrenzen für die verschiednen Chargen befürwortet worden, und dieser Vorschlag hat etwas bestechendes, denn damit würde für die notwendigen Pensionirungen eine allgemeine rechtliche Grundlage geschaffen werden.	RP
Die Einrichtung besteht auch in Frankreich und ist aus den schon angeführten Gründen dort sicher am Platze.	NN
In Wirklichkeit besteht sie aber auch in Deutschland, und das Militärkabinett verfährt schon nach diesem Grundsatz, wenn er auch nicht gesetzlich festgelegt ist.	NN
Spielraum für Ausnahmen muß ein solches Gesetz gewähren, und dafür ist auch in Frankreichgesorgt.	NN
Daß sich in der Praxis der bei uns fest eingewurzelte Gebrauch irgendwie von der Handhabung eines neuen Gesetzes unterscheiden würde, ist nicht wohl anzunehmen, denn das Entscheidende dabei wird immer sein, unter welchen Beweggründen die Ausnahmen erfolgen.	IS
Bleiben allein die Rücksichten auf die Kriegstüchtigkeit maßgebend, so wird eine gesetzliche Festlegung der Altersgrenze nichts ändern; sollten aber andre Interessen, etwa kameradschaftlicher Natur, Einfluß gewinnen, so würde das bloß auf Kosten der kriegerischen Brauchbarkeit des Offizierkorps geschehen.	NN
Man erwäge wohl, ob nicht die gesetzliche Regelung zur rein mechanischen Handhabung des Grundsatzes führen und gerade dadurch verderblichen Einflüssen den Zugang eröffnen würde.	IS
In allen solchen Fällen erscheint doch der entscheidende Anteil des verantwortlichen Vorgesetzten, dem schon in Friedenszeiten daran liegen muß, ein ebenso erfahrnes als felddienstfähiges Offizierkorps unter sich zu haben, als das Natürlichste und Beste.	NN
Man mag also die aufgetauchten Änderungsvorschläge betrachten, wie man will, man kommt schließlich zu dem Ergebnis, daß sie keine Verbesserung bedeuten, am allerwenigsten in der Richtung, in der sie wohl eigentlich gemeint sind: den Notstand pensionirter Offiziere zu beseitigen.	RP
Es ist eine Täuschung, daß dadurch auch nur eine Linderung erreicht werden könnte; wenn man nicht die Armee ihrem eigentlichen Zweck entfremden will, so wird man keinen Weg ausfindig machen, auf dem es möglich wäre, jeden Offizier so lange in seiner Stellung zu lassen, bis er sich eine ausreichende Pension erdient hat.	NN
Eine Abhilfe ist nur von einer Erhöhung der Pensionen, namentlich der untern	NN
