text	stwr
Selbst das einzige Gedicht, in dem er sich seines reinen Strebens zu freuen scheint, sein Ziel „ fast erreicht " nennt und die ewigen Mächte nur noch um „ ein letztes Mühen " bittet, damit er getrost vollende, was er ernst und fest begonnen, selbst hier schließt er doch mit dem Ausdruck inneren Zagens, inneren Zweifels:	RP
Also fleh' ich, von den Schwingen Der Erfüllung leis' umweht, Und doch fürchtend, daß mein Ringen Im Verhängnis untergeht.	DS
Dieser innere Zwiespalt aber, der die Dichtung Saars durchzieht, ist es gerade, der ihn interessant macht, der ihm ein originelles Gepräge verleiht, denn die traditionellen Elemente deutscher Lyrik und Dramatik hat er sonst nur selten mit neuem Geiste zu durchdringen und individuell zu gestalten vermocht.	NN
Namentlich seine Liebeslieder dürften dem Literarhistoriker der Zukunft nur wenig lehren, was er nicht an hundert andern Orten ebensogut erfahren könnte.	NN
In seinen Trauerspielen treten eher zeitbewegende Ideen in den Vordergrund, und sie werden zur Charakteristik des deutsch-österreichischen Geisteslebens im sechsten und siebenten Dezennium unsers Jahrhunderts einst so manchen Beitrag liefern.	NN
„ Kaiser Heinrich der Vierte " verdankt seine Entstehung wohl	NN
den Tagen des Konkordatsabschlusses, der den Österreichern die immer noch fortwirkende Kraft des römischen Papsttums zur unerfreulichen Anschauung brachte; dann dem italienischen Feldzuge des Jahres 1859, den Saar als Offizier mitgemacht hat; endlich vielleicht auch der Anregung Giesebrechts, der im Jahre 1855 den ersten Band seiner Geschichte der deutschen Kaiserzeit veröffentlichte.	NN
Neben Saar ist ja gerade in den fünfziger und sechziger Jahren eine ganze Reihe von Dichtern auf denselben Stoff verfallen; die Bruno Arnim und Weißbrodt überragte er freilich an Gestaltungskraft bedeutend, und namentlich der zweite Teil des Dramas, „ Heinrichs Tod, " ist ein durchaus bühnenfähiges Stück „ Die beiden de Witt " dagegen, die vor etwa sieben Jahren über die Bretter des Burgtheaters gingen, konnten sich nicht auf dem Repertoire erhalten, und dem Trauerspiel „ Tempesta, " das erst 1881 erschien, kann man wohl voraussagen, daß kein Direktor es mit ihm wird wagen wollen.	IS
Indes behandeln sowohl „ Die beiden de Witt " als auch „ Tempesta " Konflikte, die unsrer Zeit nicht unverständlich sind: dort sehen wir einen Jdealpolitiker im Kampfe mit den realen Mächten, die den Gang der Dinge auf der Weltbühne bestimmen, untergehen; hier tötet ein Mann seine Frau, nicht weil sie ihm untreu gewesen ist, sondern weil er in ihrem Herzen den ersten Keim einer Leidenschaft zu einem andern entdeckt.	NN
„ Und so hab ich sie mit Recht getötet, " ruft er an der Leiche aus.	DS
Dieses Verlangen nach ganz unumschränktem Besitz, nach einer Herrschaft selbst über das Wollen des geliebten Wesens ist doch nur eine Spielart des „ titanischen " Dranges, der in Hamerlings „ Nero, " in Lipiners „ Prometheus " wohnt, und der sich bei näherem Zusehen als ein Stück Faustmotiv entpuppt — übrigens ein Motiv, das seit Lenau in der österreichischen Literatur nicht wieder zur Ruhe gekommen ist, weshalb es uns auch garnicht überrascht, wenn wir in Wurzbachs Lexikon lesen, auch Ferdinand von Saar habe in seiner Jugend an einem „ Faust " gedichtet, der aber verloren gegangen sei.	IS
Am entschiedensten als österreichischer Dichter tritt Saar in seinen Novellen auf; hier hat er so manchen glücklichen Griff in unser Gesellschaftsleben gethan, und auch die Ausführung läßt unter den früheren wenigstens nichts zu wünschen übrig.	NN
