text	stwr
» Freilich wohl, « sagte Schelia verlegen; » aber ich meine nur– «	DS
In diesem Augenblick ließen sich aus der Ferne die Huftritte eines Rosses vernehmen, das geradeswegs auf das Gartentor zugeschritten kam.	NN
Das Mädchen blieb einen Augenblick horchend stehen, sah Schelia leichenblaß an und vermochte nichts weiter zu sagen als: » Der Vater! «	DS
Schelia wollte sie beruhigen und sagte: » Laßt doch, ich will ihm entgegengehen; ich habe ja nichts Böses getan. «	DS
Sie aber rief:	NN
» Ihr kennt ihn nicht! «	DS
Und indem sie plötzlich mit Heftigkeit seinen Arm ergriff, sagte sie leise stammelnd:	NN
Wißt Ihr denn auch, daß es Euer Tod sein könnte, wenn er Euch hier bei mir träfe? «	DS
Schelia erschrak, denn diese Worte waren im Ernst gesprochen, das hörte man ihnen an.	RP
» Kommt , « sagte das Mädchen plötzlich entschlossen, » es kann nun nicht anders sein; « zugleich drehte sie um und ging geradeswegs auf das Haus mit ihm zu, indem sie immer noch seinen Arm festhielt, was sie in ihrer Erregung gar nicht bemerkte.	reported;direct
Sie führte ihn, der beinahe willenlosfolgte, darauf durch die altertümlichen Zimmer des Schlosses, mehrere Treppen hinauf bis in ein Kämmerchen, das durch seine Einrichtung verriet, daß es eines Mädchens Zimmer war.	NN
» Hier, « sagte sie, » müßt Ihr bleiben, Herr; es ist mein eigenes Zimmer, da geht der Vater nicht hinein, sonst durchsucht er das ganze Haus; habt Geduld, so wird sich vielleicht alles gut machen. «	DS
Dann schloß sie die Tür und ließ ihn allein.	NN
» Mein Abenteuer, « dachte Schelia, » läßt sich ja gut an: sieh da, allein in eines Mädchens Zimmer! «	DS
Dennoch wunderte er sich beinahe über sich selbst, daß er durchaus nicht lachen konnte, sondern im Gegenteil mit einem beinahe ehrfürchtigen Gefühle setzte er sich auf einen der Stühle und besah die Einrichtung, mit der seine seltsame Wirtin ihr kleines Gemach ausgestattet hatte.	IS
Unterdessen war der alte Herr von Sparr in den Garten getreten, und da er nicht, wie gewöhnlich, seine Tochter im Garten fand, ging er schnurstracks auf das Haus zu.	NN
Als er den Saal im Erdgeschosse betrat, kam ihm die Tochter, die eben den jungen Schelia in Sicherheit gebracht, von oben entgegen und grüßte ihn mit dem gewohnten Gruße.	NN
Der Alte sah ihr von unten mit den glühenden, mißtrauischen Augen entgegen, schlug, statt allen Grußes, einmal kurz mit der Hand durch die Luft und sagte: » Nun, Tochter? «	DS
Dann begann er, wie er dies jeden Tag tat, die sämtlichen Gemächer des Erdgeschosses auf das sorgfältigste zu untersuchen.	NN
Die Tochter sah ihm schweigend zu; zum erstenmal in ihrem Leben erschien ihr das Tun des Vaters unheimlich, zum erstenmal sah sie, wie schrecklich der Blick aus seinen weit hervortretenden Augen war.	NN
Es war im August und ein heißer Tag, so daß das Gesicht des Alten in der Anstrengung dunkelrot zu glühen begann; als er daher die Treppe betrat, um nun die oberen Stockwerke in gleicher Weise abzusuchen wie das unterste, hing sich die Tochter an seinen Arm und bat ihn, heute sich die Mühe des Suchens zuersparen.	IS
» Ja doch! « gab der Alte in knurrendem Tone zur Antwort, » daß mir die Hunde, die nach meinem Glück und Leben stehen, das Dach oben anzünden, wenn ich unten faulenze?	DS
